Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
100.001,-327.539419856123,64260.76541926038,63933.225999404254
100.00200000000001,-328.51204973686197,64366.54031660522,64038.02826686836
100.003,-326.7592053672372,64148.76950244898,63822.010297081746
100.004,-326.59022053021783,63679.64821300173,63353.05799247151
100.00500000000001,-326.7668497271892,64287.95110654595,63961.184256818764
100.006,-325.9458567811539,64356.09043291175,64030.144576130595
100.007,-327.2370921343877,63827.03022418276,63499.79313204837
100.00800000000001,-325.6566981006576,64404.016895128916,64078.36019702826
100.009,-327.77735901747576,64330.42890943618,64002.651550418705
100.01,-327.7618373525754,64256.32964834936,63928.567810996785
100.01100000000001,-328.03310849743923,63855.083773064856,63527.05066456742
100.012,-328.19062592061834,64879.21081324738,64551.020187326765
100.013,-328.0424993165373,63746.313300526606,63418.27080121007
100.01400000000001,-327.34720896073435,64315.41616726147,63988.06895830074
100.015,-328.06193156413264,64145.247652162616,63817.185720598485
100.016,-329.9465107058658,63991.46479809806,63661.518287392195
100.01700000000001,-329.17848918787604,64205.85353457141,63876.675045383534
100.018,-330.5315869647322,64349.26144110854,64018.72985414381
100.019,-329.6126065969833,64335.666660820905,64006.054054223925
100.02000000000001,-329.9557830192758,64589.159388960994,64259.203605941715
100.021,-329.9913028750706,63914.47991122983,63584.48860835476
100.022,-330.1894890850201,64130.749639154485,63800.56015006946
100.02300000000001,-331.8141999376323,64310.893966859236,63979.079766921604
100.024,-331.8379514927781,64704.12830403145,64372.29035253867
100.025,-332.14822353669194,64056.38036121292,63724.23213767623
100.02600000000001,-331.62908829154844,64323.28218731249,63991.65309902094
100.027,-332.1957610995299,63569.86968824032,63237.673927140786
100.028,-332.4471207910783,64419.379182814555,64086.93206202348
100.02900000000001,-333.0354390436828,64348.11709417985,64015.081655136164
100.03,-331.01153807040026,63902.11959851199,63571.10806044159
100.031,-332.37393675441024,64297.08517506585,63964.711238311436
100.03200000000001,-333.31281810835225,64048.95926974318,63715.64645163483
100.033,-335.04009860487537,64034.494486097465,63699.45438749259
100.034,-333.2945998131102,64359.14008747859,64025.84548766548
100.03500000000001,-335.02356421263556,64323.660902688905,63988.63733847627
100.036,-334.44203298400816,64249.99935034186,63915.55731735785
100.037,-333.4147598494733,64206.00052512647,63872.58576527699
100.03800000000001,-333.03566913866473,64535.41186264921,64202.37619351055
100.039,-334.3747114293133,64457.329162937865,64122.95445150855
100.04,-334.80710052196156,64444.15106431567,64109.34396379371
100.04100000000001,-336.6945387697747,64218.509895382624,63881.815356612846
100.042,-335.73119896694004,64328.618918028864,63992.887719061924
100.043,-335.9512917989077,64228.7702798967,63892.818988097795
100.04400000000001,-335.8183892824195,64226.965823519706,63891.14743423729
100.045,-338.30205823757876,64403.42483175814,64065.12277352056
100.046,-339.511418212343,64234.36130460967,63894.84988639733
100.04700000000001,-337.19635064438853,64191.50650944056,63854.31015879617
100.048,-337.6576934400383,63938.93001158997,63601.27231814993
100.049,-338.57571783617357,64105.13878158317,63766.563063746995
100.05000000000001,-339.40848806467227,64304.45524551152,63965.04675744685
100.051,-339.55957233406014,64245.17504008426,63905.6154677502
100.052,-339.02308234531506,64122.0552358608,63783.03215351548
100.05300000000001,-338.93528688416677,64082.998943051585,63744.06365616742
100.054,-339.4710979102008,63791.123732618784,63451.65263470858
100.055,-337.683727435114,64611.61249248234,64273.928765047225
100.05600000000001,-337.983448957508,63856.26316615423,63518.279717196725
100.057,-338.9138818043439,64087.69204081716,63748.778159012814
100.058,-339.14854001213683,64135.49283466456,63796.34429465242
100.05900000000001,-337.48579031955614,64210.185433342616,63872.69964302306
100.06,-339.7472146031936,64167.538048863214,63827.79083426002
100.061,-343.0259534946387,64296.61797221488,63953.59201872024
100.06200000000001,-342.6561011413062,64339.8530966603,63997.19699551899
100.063,-344.0874992605459,64237.104848657116,63893.01734939657
100.06400000000001,-343.6812737372767,64489.32831196764,64145.64703823037
100.065,-344.3350108138487,64233.192158224054,63888.85714741021
100.066,-340.37120548921183,64598.89085694554,64258.51965145633
100.06700000000001,-342.87099294468806,64216.902361553555,63874.03136860887
100.068,-341.96806854436824,63805.58189665026,63463.613828105896
100.069,-340.33119288379464,64429.71584988473,64089.384657000934
100.07000000000001,-341.5639336110262,63928.369764291914,63586.80583068089
100.071,-341.30794005056396,64151.18528938726,63809.87734933669
100.072,-343.292211033179,64220.4209534107,63877.12874237752
100.07300000000001,-343.29317546580484,64454.79971488504,64111.506539419235
100.074,-342.6978228353817,64325.583011579656,63982.88518874427
100.075,-343.3178683823719,64288.97593321996,63945.65806483759
100.07600000000001,-342.6810731828698,64295.20665287279,63952.52557968992
100.077,-343.7969110661062,63947.42474088009,63603.62782981398
100.078,-343.47503580209496,64576.37571430171,64232.90067849961
100.07900000000001,-343.34062404414465,64283.00996355785,63939.669339513704
100.08,-342.51689883316186,64153.02184052413,63810.50494169097
100.081,-344.40483953694064,64151.30545826894,63806.900618732
100.08200000000001,-344.0519182187346,64140.05362476615,63796.00170654742
100.083,-343.189958722474,64246.33889557871,63903.14893685623
100.084,-342.49423796812437,64324.36335598868,63981.86911802056
100.08500000000001,-342.7597666446678,64347.847126617904,64005.08735997324
100.086,-344.2043469277455,63947.901691409,63603.697344481254
100.087,-347.09128490042747,64253.41651166373,63906.3252267633
100.08800000000001,-345.62701573699167,64020.55334221054,63674.92632647355
100.089,-347.5999642552765,64090.76770276637,63743.16773851109
100.09,-345.1903437291258,64032.94775298929,63687.757409260164
100.09100000000001,-346.93519809529874,64378.0271050234,64031.0919069281
100.092,-345.58272773695114,64055.21682511047,63709.63409737351
100.093,-346.56038811524854,63967.449293109785,63620.888904994536
100.09400000000001,-346.5905454899314,64120.411316202335,63773.8207707124
100.095,-347.9889916967797,64076.09332858746,63728.10433689068
100.096,-348.94470343964963,63892.16071159694,63543.21600815729
100.09700000000001,-348.69705338293375,63937.19745972181,63588.50040633887
100.098,-347.9884539988551,64586.20725077389,64238.218796775036
100.099,-347.4219498820629,64250.34712054096,63902.9251706589
100.10000000000001,-348.52109332314166,64144.098164523246,63795.5770712001
100.2,-376.6889302836472,64713.06068788132,64336.37175759767
100.30000000000001,-406.92118697641274,64517.96586970372,64111.04468272731
100.4,-445.8126314619302,64170.29162397244,63724.478992510514
100.5,-460.6094092820229,63975.129622225366,63514.520212943346
100.60000000000001,-489.9361782966531,64465.50727387505,63975.5710955784
100.7,-504.77701422146436,63950.67500201065,63445.89798778918
100.80000000000001,-529.2695517100778,63873.032051682654,63343.762499972574
100.9,-562.4758482258316,64289.025331945675,63726.54948371984
101.0,-577.9844525664116,64208.79157344089,63630.80712087448
101.10000000000001,-598.294012372118,64253.57350754869,63655.27949517657
101.2,-635.9714780807155,64452.38482127674,63816.41334319602
101.30000000000001,-660.7055415086635,64255.835590765906,63595.13004925724
101.4,-674.042401533894,64344.4587992388,63670.4163977049
101.5,-699.5777423625973,64207.19352125125,63507.61577888865
101.60000000000001,-724.9530954012571,63919.40633866124,63194.45324325998
101.7,-751.7909377671358,64091.165050390526,63339.37411262339
101.80000000000001,-764.5460784346927,64355.602757698616,63591.05667926392
101.9,-780.3677856393339,63813.4586779689,63033.090892329565
102.0,-812.4105702076442,64293.497849693274,63481.08727948563
102.10000000000001,-820.1314656040263,63958.48908934634,63138.35762374231
102.2,-847.1738494183313,64028.303931282906,63181.130081864576
102.30000000000001,-863.1728211444762,63893.51866385469,63030.34584271021
102.4,-861.5803964660763,64178.212449276165,63316.63205281009
102.5,-877.9673354161583,64287.748120185584,63409.78078476943
102.60000000000001,-917.9724246230722,64238.69887597524,63320.72645135217
102.7,-938.3509118161251,64151.39520155944,63213.04428974332
102.80000000000001,-946.667953893384,63808.74774269081,62862.079788797426
102.9,-988.630461367883,64490.17988122573,63501.54941985785
103.0,-986.3079569991382,64281.81081065424,63295.5028536551
103.10000000000001,-994.6857017571527,64302.059018817294,63307.37331706014
103.2,-1006.3075384606434,64254.68878897274,63248.381250512095
103.30000000000001,-995.6622223912299,64425.592755082216,63429.93053269099
103.4,-1030.6945753999491,63909.499302138785,62878.80472673884
103.5,-1038.94564584589,64254.18066137659,63215.2350155307
103.60000000000001,-1046.7996706946487,64170.67066450179,63123.87099380714
103.7,-1060.0255964975838,63594.734633376924,62534.70903687934
103.80000000000001,-1065.3392656535432,63966.6154134206,62901.27614776706
103.9,-1081.6130136990432,64312.45222205832,63230.83920835928
104.0,-1103.7030480885637,64298.00963029587,63194.306582207304
104.10000000000001,-1094.4016994652654,63927.20026400284,62832.798564537574
104.2,-1101.495372659946,64498.01523415663,63396.51986149668
104.30000000000001,-1122.1738393374942,64382.17987585302,63260.00603651553
104.4,-1136.8413810844502,64019.84929177628,62883.00791069183
104.5,-1129.5947775566808,64244.78507222216,63115.19029466548
104.60000000000001,-1161.8910345781562,64710.736675711276,63548.84564113312
104.7,-1190.1699498442385,64508.21288274381,63318.04293289957
104.80000000000001,-1197.6761943124534,64282.61018684455,63084.9339925321
104.9,-1205.0467426568416,63908.37967193817,62703.33292928133
105.0,-1225.7109044498673,64098.1311281935,62872.42022374363
105.10000000000001,-1245.9850475010348,64009.000881663895,62763.01583416286
105.2,-1270.626249530809,64918.61523167373,63647.98898214292
105.30000000000001,-1274.2812660597624,64159.49819013596,62885.216924076194
105.4,-1296.1072212981578,64173.854322015926,62877.74710071777
105.5,-1303.098512080996,64163.92146189501,62860.82294981402
105.60000000000001,-1302.505092628332,64201.54717004428,62899.04207741595
105.7,-1317.29820249516,64007.643868197774,62690.34566570261
105.80000000000001,-1333.8395889966284,64319.521378285404,62985.68178928878
105.9,-1346.908936908028,63991.17241141234,62644.26347450432
106.0,-1336.6178399586177,63714.840732637145,62378.222892678525
106.10000000000001,-1353.8743476938103,64015.106080869766,62661.231733175955
106.2,-1363.5897471749897,63960.17172881012,62596.58198163513
106.30000000000001,-1351.018078040727,64478.47337257836,63127.455294537634
106.4,-1369.7457973067544,63987.8141876945,62618.06839038774
106.5,-1414.7850377808304,64212.27498650077,62797.489948719944
106.60000000000001,-1421.1574733295638,64338.28765843237,62917.130185102804
106.7,-1429.4388144470458,64129.75034168805,62700.31152724101
106.80000000000001,-1450.9251390852328,63697.965206833556,62247.04006774833
106.9,-1437.2025357753585,63753.88254459854,62316.68000882318
107.0,-1474.4121069154414,64102.35414837644,62627.942041461
107.10000000000001,-1485.9272081337067,64415.643757137004,62929.7165490033
107.2,-1500.8046664854423,64237.67863428261,62736.87396779717
107.30000000000001,-1504.7633904426793,64196.33097555622,62691.567585113546
107.4,-1503.0034237998227,63772.29303408035,62269.289610280524
107.5,-1538.3408189778886,63640.688472168215,62102.34765319033
107.60000000000001,-1530.7981691043535,63966.68221167245,62435.8840425681
107.7,-1552.62671151433,64379.62515654079,62826.99844502646
107.80000000000001,-1567.0636129837103,64288.82241696378,62721.758803980076
107.9,-1593.7390382489953,63931.495398695464,62337.75636044647
108.0,-1591.7026138874585,63848.26015574724,62256.55754185978
108.10000000000001,-1618.4397459538013,64418.24213019949,62799.80238424569
108.2,-1618.1719205081047,64161.04641555903,62542.87449505093
108.30000000000001,-1646.1233725689444,63970.729226308584,62324.60585373964
108.4,-1667.9710833897761,64207.47351413721,62539.50243074743
108.5,-1666.0957943547369,64221.02351827516,62554.92772392042
108.60000000000001,-1670.061653730847,64050.6828007746,62380.621147043756
108.7,-1704.4343918422815,64123.593651215866,62419.159259373584
108.80000000000001,-1677.2336669006727,63920.38075884234,62243.14709194166
108.9,-1689.3834401550816,64226.85908912877,62537.47564897368
109.0,-1699.5705191313696,64398.020199345236,62698.44968021387
109.10000000000001,-1733.2301936202527,64460.54496701999,62727.31477339974
109.2,-1717.5451344416238,64467.983292405304,62750.43815796368
109.30000000000001,-1767.688563536151,63847.93385029019,62080.245286754034
109.4,-1753.5688117101624,63792.88614277559,62039.31733106543
109.5,-1774.0337167475323,64541.93622477644,62767.90250802891
109.60000000000001,-1791.8614253156015,63842.369365681836,62050.50794036623
109.7,-1806.9230671554028,63934.19816179301,62127.2750946376
109.80000000000001,-1813.593869962624,64329.93829812735,62516.344428164724
109.9,-1825.1249082615927,64470.86164308878,62645.73673482719
110.0,-1844.9602595548536,64014.265255006176,62169.30499545132
110.10000000000001,-1842.527368720138,63825.85227482673,61983.32490610659
110.2,-1865.3590273896218,64163.75745166214,62298.39842427252
110.30000000000001,-1899.3142659282103,64305.07478310702,62405.76051717881
110.4,-1906.5714707800544,64030.017312918106,62123.445842138055
110.5,-1922.3522814071735,63936.54939041228,62014.1971090051
110.60000000000001,-1926.367919600732,64182.02442082811,62255.65650122738
110.7,-1931.4816185817144,63946.610158050666,62015.12853946895
110.80000000000001,-1957.580580204618,64083.63302786896,62126.05244766434
110.9,-1965.1339686890274,64100.358013671226,62135.2240449822
111.0,-1959.9494244788066,64616.764487850756,62656.81506337195
111.10000000000001,-1993.2285994663216,63726.281708226445,61733.05310876013
111.2,-2023.3628977959581,64194.39598019258,62171.03308239662
111.30000000000001,-2003.414543029026,64624.33730622332,62620.9227631943
111.4,-2016.7786425666532,64215.56669621223,62198.78805364557
111.5,-2034.6727481783182,64226.22518277206,62191.552434593745
111.60000000000001,-2046.5825963831933,64052.87176817053,62006.289171787335
111.7,-2043.4410405915073,63814.14960320422,61770.708562612715
111.80000000000001,-2101.7732308010227,64492.94355319917,62391.170322398146
111.9,-2054.382829611902,64555.07141487987,62500.68858526797
112.0,-2093.4792124575088,64099.63293410955,62006.15372165204
112.10000000000001,-2078.122839232762,64616.38869702433,62538.26585779157
112.2,-2085.5694782935648,64418.3474405944,62332.77796230083
112.30000000000001,-2110.4588540448276,64139.28610638341,62028.82725233858
112.4,-2134.705933875586,63776.39280064321,61641.686866767624
112.5,-2138.6947784130316,64102.24317691362,61963.548398500585
112.60000000000001,-2153.5656395304404,63958.755667722595,61805.190028192155
112.7,-2145.3099949743546,64008.67575971256,61863.365764738206
112.80000000000001,-2128.9185523701162,64064.65850373018,61935.73995136006
112.9,-2148.0403602709303,64445.94637612776,62297.90601585683
113.0,-2142.7980528507624,64564.46748053209,62421.66942768133
113.10000000000001,-2139.0575871438327,64158.82863028218,62019.771043138346
113.2,-2119.049075280368,64072.83186639778,61953.78279111741
113.30000000000001,-2132.347430725203,64049.35387619643,61917.00644547123
113.4,-2132.2000564518826,64376.89767181107,62244.69761535919
113.5,-2155.9339110624765,64393.813614612925,62237.87970355045
113.60000000000001,-2141.3392320657463,64049.24931146897,61907.91007940323
113.7,-2128.6218847198797,64258.86642079194,62130.24453607206
113.80000000000001,-2139.8911171566515,63784.86122523668,61644.97010808003
113.9,-2134.1074505582533,64468.34430661483,62334.23685605658
114.0,-2150.2995141466954,63629.32036594089,61479.020851794194
114.10000000000001,-2186.232534262101,63856.0590563283,61669.82652206619
114.2,-2176.2256808582215,63952.59126043028,61776.365579572055
114.30000000000001,-2213.950021322531,64364.88382846904,62150.93380714651
114.4,-2234.412882313809,63892.7170843052,61658.30420199139
114.5,-2214.6367650914913,63565.34373843567,61350.70697334418
114.60000000000001,-2240.320329298881,64235.929410220306,61995.60908092142
114.7,-2226.3882352882474,64349.739754181544,62123.351518893294
