Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
415900.00100000005,-653485.0202489137,64029.92007328712,-589455.1001756266
415900.00200000004,-653337.8744388523,64083.15982740918,-589254.7146114431
415900.003,-653209.5897644223,64144.56909978573,-589065.0206646365
415900.004,-653202.4127362764,64190.06587134481,-589012.3468649316
415900.005,-653198.176809103,64325.04512535318,-588873.1316837498
415900.006,-653267.9186421197,64597.70506548825,-588670.2135766315
415900.00700000004,-653223.4497925222,63917.71966746963,-589305.7301250526
415900.00800000003,-653480.6148374933,63539.23549272858,-589941.3793447647
415900.009,-653503.7883218843,64447.43141516497,-589056.3569067194
415900.01,-653503.4802612644,64147.01371011024,-589356.4665511542
415900.011,-653397.6328830374,64121.643169254545,-589275.9897137829
415900.01200000005,-653697.3428516516,64020.970386312096,-589676.3724653395
415900.01300000004,-653476.6526615433,64101.08954416869,-589375.5631173747
415900.014,-653416.4889893626,64057.94459690855,-589358.5443924541
415900.015,-653342.6859907183,63921.21511280532,-589421.470877913
415900.016,-653231.9479421622,64357.20755960682,-588874.7403825554
415900.017,-653199.010037988,64391.06641268013,-588807.9436253079
415900.01800000004,-653379.5392293377,64113.62671164928,-589265.9125176885
415900.01900000003,-653260.0483583796,64142.887718339065,-589117.1606400405
415900.02,-653365.6476410851,64307.42047668445,-589058.2271644006
415900.021,-653431.6357708679,64080.568003321714,-589351.0677675462
415900.022,-653429.7767569514,64186.00312306755,-589243.7736338838
415900.02300000004,-653433.789100233,64479.67953832,-588954.109561913
415900.02400000003,-653436.8746853962,64861.28378669709,-588575.5908986991
415900.025,-653522.6453860737,64468.40734114246,-589054.2380449313
415900.026,-653454.9174943152,64146.59720390593,-589308.3202904093
415900.027,-653443.4690577096,64136.30128366747,-589307.1677740421
415900.028,-653437.5348710443,64408.08320649089,-589029.4516645535
415900.02900000004,-653362.0904472177,64480.43241893627,-588881.6580282814
415900.03,-653357.7432960635,64349.15595662851,-589008.587339435
415900.031,-653440.3906444929,64156.33828670516,-589284.0523577877
415900.032,-653454.3875537955,64322.9912379279,-589131.3963158675
415900.033,-653206.652209017,64776.66582858813,-588429.9863804288
415900.03400000004,-653184.2661766661,64363.40262393121,-588820.863552735
415900.03500000003,-653077.0422422842,64096.58411641809,-588980.458125866
415900.036,-653077.1363748647,64073.332592183724,-589003.803782681
415900.037,-653076.2165778604,64797.98030873661,-588278.2362691239
415900.038,-653067.2005152861,64068.668794067926,-588998.5317212181
415900.03900000005,-653045.7993591921,64375.46577455767,-588670.3335846345
415900.04000000004,-653151.975406647,63829.04919657565,-589322.9262100713
415900.041,-653357.72869322,63890.470593510705,-589467.2580997093
415900.042,-653420.5233655297,64319.9060029163,-589100.6173626134
415900.043,-653551.372780752,64437.03567832348,-589114.3371024285
415900.044,-653457.0632899088,64257.969276225704,-589199.0940136831
415900.04500000004,-653351.9223303754,64175.980252331734,-589175.9420780437
415900.04600000003,-653166.1487171922,64047.86683763605,-589118.2818795561
415900.047,-653378.8728973051,64374.567962362984,-589004.304934942
415900.048,-653475.7747949945,64236.431587677784,-589239.3432073167
415900.049,-653455.3620027793,63854.2751734569,-589601.0868293224
415900.05000000005,-653468.4759043856,64244.26903214188,-589224.2068722437
415900.05100000004,-653578.0333052946,64528.60183561686,-589049.4314696777
415900.052,-653348.6111890342,64628.6209284864,-588719.9902605477
415900.053,-653361.9723514541,63865.41925008753,-589496.5531013665
415900.054,-653536.3697630276,64662.86300768735,-588873.5067553403
415900.055,-653572.2311709267,63963.111508585396,-589609.1196623413
415900.05600000004,-653551.9857999622,63789.71392541168,-589762.2718745505
415900.05700000003,-653684.4107228459,64427.724851918785,-589256.6858709272
415900.058,-653563.0871033589,64126.91017237627,-589436.1769309826
415900.059,-653433.3760903542,64379.206300285696,-589054.1697900685
415900.06,-653430.1447280294,63762.26843077499,-589667.8762972543
415900.06100000005,-653385.9349586781,64162.12270330718,-589223.8122553709
415900.06200000003,-653345.8573384513,64120.19708385097,-589225.6602546003
415900.063,-653270.5601845969,64427.95587520822,-588842.6043093887
415900.064,-653180.7458083874,64171.066369666776,-589009.6794387207
415900.065,-653357.1605459366,64163.56541692691,-589193.5951290097
