Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
100.001,-537.9875166901912,63964.24672645673,63426.25920976654
100.00200000000001,-539.3967479679011,64217.043286062166,63677.64653809427
100.003,-540.0947236766474,64412.93225611185,63872.83753243521
100.004,-541.8532531045848,64265.621242360525,63723.76798925594
100.00500000000001,-540.5947131240368,64586.14144297868,64045.54672985464
100.006,-542.5281017663594,64325.84713581186,63783.319034045504
100.007,-543.9344683133298,64651.77967838764,64107.84521007431
100.00800000000001,-545.3750271227935,63859.517636358825,63314.142609236034
100.009,-544.2838434435645,64129.693952209316,63585.410108765755
100.01,-546.4964418499862,64463.4383156447,63916.94187379471
100.01100000000001,-545.2053059701918,64420.989336286875,63875.78403031668
100.012,-546.915192833013,63987.18992371214,63440.27473087913
100.013,-548.6328669867105,63888.51011518084,63339.877248194134
100.01400000000001,-548.9071573563738,64097.141576084934,63548.23441872856
100.015,-547.6128963725128,63732.79181680802,63185.17892043551
100.016,-546.915314203318,64556.91125300246,64009.99593879914
100.01700000000001,-546.0343927481838,64465.09754632133,63919.06315357315
100.018,-547.5724102437523,64345.65776219437,63798.08535195062
100.019,-548.7967061016566,64344.43482492368,63795.638118822026
100.02000000000001,-548.7007703829627,64405.60831482921,63856.90754444624
100.021,-549.0443542848218,63892.767031758965,63343.72267747414
100.022,-548.3033401619618,64000.01226984191,63451.708929679946
100.02300000000001,-546.358060305668,63728.44454147871,63182.08648117304
100.024,-545.1387698775754,64440.01284523463,63894.87407535706
100.025,-546.2779818238719,63971.40376313682,63425.12578131295
100.02600000000001,-548.9828459791113,64003.449254242994,63454.466408263885
100.027,-548.8681703490066,64434.810563335166,63885.94239298616
100.028,-550.2681198489017,64012.39026743591,63462.12214758701
100.02900000000001,-548.2113968363522,63695.70975345193,63147.49835661557
100.03,-549.1312995097314,64160.6296807623,63611.49838125257
100.031,-551.326935610663,64503.4151944785,63952.088258867836
100.03200000000001,-552.6357352137234,64001.72529942216,63449.08956420844
100.033,-553.8155525473119,63819.163943327956,63265.348390780644
100.034,-553.7604580789651,64001.34229682547,63447.581838746504
100.03500000000001,-555.5030175537727,63758.284878695544,63202.78186114177
100.036,-556.1050188112658,64230.7064994949,63674.60148068364
100.037,-556.684807215335,64193.93718903997,63637.25238182463
100.03800000000001,-557.1037517297675,64487.00187190417,63929.8981201744
100.039,-558.7101171306554,64322.78185303025,63764.07173589959
100.04,-557.0316978691924,64142.77351063161,63585.74181276242
100.04100000000001,-557.6099730168305,64423.94437290037,63866.33439988354
100.042,-555.9484421221116,64007.41313316751,63451.464691045396
100.043,-558.3015968778063,64309.04557421292,63750.743977335114
100.04400000000001,-558.0694503925495,64281.154880826274,63723.085430433726
100.045,-558.7338484780255,63928.28294676094,63369.549098282914
100.046,-558.7120335208367,64100.126544830506,63541.41451130967
100.04700000000001,-558.3668258394648,64452.07996531763,63893.71313947816
100.048,-558.6481925152252,64345.31680889678,63786.668616381554
100.049,-558.7657144663839,64560.1888185296,64001.423104063215
100.05000000000001,-560.7857689905303,64741.15675396643,64180.3709849759
100.051,-559.9351705163435,64368.319211752765,63808.38404123642
100.052,-560.7152584751498,64027.48710964421,63466.771851169055
100.05300000000001,-562.1009264067051,63941.062272811076,63378.96134640437
100.054,-561.4799574696693,64389.52906500365,63828.04910753398
100.055,-561.802782039234,63962.78453487233,63400.9817528331
100.05600000000001,-560.394101291161,64482.83843850343,63922.44433721227
100.057,-561.0504307767117,63703.235084675216,63142.184653898505
100.058,-561.4708716402655,64603.41015463926,64041.939282998996
100.05900000000001,-561.2901667952401,64402.26404112269,63840.97387432745
100.06,-560.9459626065732,64677.83158981493,64116.88562720836
100.061,-562.3209933119709,64097.718007584524,63535.39701427255
100.06200000000001,-563.004810831618,64275.63500513111,63712.63019429949
100.063,-564.2712720149376,64328.1561293473,63763.88485733236
100.06400000000001,-564.6133901148464,64281.44033199506,63716.82694188021
100.065,-563.4940482200659,64082.825691499645,63519.33164327958
100.066,-563.4020027147468,63735.675973587604,63172.273970872855
100.06700000000001,-564.1822270191374,64141.1186434345,63576.93641641536
100.068,-565.4649860102284,63969.31677721727,63403.85179120704
100.069,-564.0648388909567,64051.32440549214,63487.259566601184
100.07000000000001,-563.4783480124604,64017.62823683092,63454.14988881846
100.071,-563.9529251356614,64474.98601269591,63911.03308756025
100.072,-563.0625662432,64481.99029748877,63918.92773124557
100.07300000000001,-565.1655102954567,64340.55109533982,63775.385585044365
100.074,-564.4550802539616,63680.11336237342,63115.65828211946
100.075,-565.4899676894722,64051.05492884196,63485.564961152486
100.07600000000001,-564.1713579802563,64092.81881253302,63528.64745455276
100.077,-566.3165987776375,64421.04968055526,63854.733081777624
100.078,-567.6817401859477,64175.51769873599,63607.835958550044
100.07900000000001,-567.7621471648893,64232.07919948282,63664.31705231793
100.08,-570.4439511144817,64123.925697071725,63553.481745957244
100.081,-572.6666278823542,64234.503544933716,63661.83691705136
100.08200000000001,-570.671011007091,64384.95626158742,63814.285250580324
100.083,-571.7394278175655,64157.61598883393,63585.87656101637
100.084,-571.7218444499148,64370.73035662706,63799.00851217714
100.08500000000001,-573.0306611035599,64642.24944564093,64069.21878453737
100.086,-572.9635783892637,64186.86280952208,63613.89923113281
100.087,-572.806083761746,64234.85154207748,63662.04545831573
100.08800000000001,-570.1270364829602,64100.31040799984,63530.183371516876
100.089,-570.4283723781767,64134.00194756034,63563.57357518216
100.09,-571.1252801908128,63951.94861109283,63380.823330902014
100.09100000000001,-573.0999226284404,64238.29563049769,63665.19570786925
100.092,-572.0375560293692,64459.112198687,63887.07464265763
100.093,-570.4043745105132,64198.49534135286,63628.09096684234
100.09400000000001,-570.7667709066999,63889.32006057163,63318.553289664924
100.095,-570.4124330964523,64181.48274243735,63611.070309340896
100.096,-568.6359368558464,64030.23435090397,63461.59841404812
100.09700000000001,-566.7763026023831,63988.74919153305,63421.972888930664
100.098,-568.3664693103908,63710.450134401326,63142.08366509093
100.099,-567.6389226629772,63753.017439642615,63185.37851697964
100.10000000000001,-566.2986412533083,64441.58265564428,63875.28401439097
100.2,-616.6873114235583,64407.22343140307,63790.536119979515
100.30000000000001,-648.838902535502,64480.85161415121,63832.01271161571
100.4,-683.2975473512053,64401.03689005696,63717.739342705754
100.5,-738.0164212328602,64584.49614284135,63846.47972160849
100.60000000000001,-775.0721773755511,63983.8506881167,63208.77851074115
100.7,-803.1853354725204,63975.18554126325,63172.00020579073
100.80000000000001,-846.0087835792522,63954.66887085105,63108.6600872718
100.9,-897.3064241709975,64643.70755036412,63746.40112619312
101.0,-928.8283831508514,63880.304693067475,62951.47630991662
101.10000000000001,-952.9384982380923,64746.03155532482,63793.09305708673
101.2,-980.133203734254,64130.57646499387,63150.44326125962
101.30000000000001,-1043.0810807303446,64197.31680058125,63154.235719850905
101.4,-1089.706549928772,64336.060846197324,63246.35429626855
