Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
705900.001,-66847.65872895255,6319.137725044075,-60528.52100390848
705900.002,-66804.88429540204,6365.113961074758,-60439.77033432728
705900.003,-66776.8320238056,6383.745960503489,-60393.086063302115
705900.0040000001,-66820.98295270262,6412.5658499757465,-60408.41710272687
705900.005,-66845.3063862178,6584.866512854859,-60260.439873362935
705900.006,-66780.44465016434,6396.39813797416,-60384.04651219018
705900.007,-66699.96687190289,6470.501470928723,-60229.465400974164
705900.008,-66748.30104316043,6449.4864432591285,-60298.81459990131
705900.0090000001,-66774.1851604793,6442.649252491945,-60331.53590798736
705900.01,-66764.11020484343,6346.3105233642,-60417.79968147923
705900.011,-66764.71960616244,6454.205108320846,-60310.51449784159
705900.012,-66770.22783212211,6426.700903787946,-60343.52692833416
705900.013,-66785.74849610281,6493.160733251729,-60292.58776285108
705900.0140000001,-66802.05037827836,6531.005811159684,-60271.04456711868
705900.015,-66771.70252536207,6330.397963837323,-60441.30456152475
705900.0160000001,-66788.53614417194,6484.084879203661,-60304.45126496828
705900.017,-66790.26495716805,6525.580015909628,-60264.68494125843
705900.018,-66862.2308733796,6386.933227659599,-60475.29764572
705900.0190000001,-66902.31337769047,6334.467102396559,-60567.846275293916
705900.02,-66879.01634675064,6509.040862640355,-60369.975484110284
705900.0210000001,-66962.38973245115,6505.7404593298,-60456.64927312135
705900.022,-66960.36927571255,6345.033553764009,-60615.33572194855
705900.023,-66911.8652253788,6396.424752914185,-60515.440472464616
705900.024,-66896.74291160033,6359.846458836571,-60536.89645276376
705900.025,-66896.49373982156,6489.158878851456,-60407.3348609701
705900.0260000001,-66838.42257128302,6497.312454688857,-60341.110116594165
705900.027,-66876.1063553498,6320.9211370316925,-60555.1852183181
705900.028,-66900.14011677665,6407.580213120928,-60492.55990365572
705900.029,-66930.02499454496,6496.334082298734,-60433.690912246224
705900.03,-66879.6845431471,6476.541557009669,-60403.142986137434
705900.0310000001,-66912.2065872468,6437.417747995681,-60474.788839251116
705900.032,-66903.2235774386,6390.388056216865,-60512.83552122174
705900.033,-66819.3147303183,6450.902289684493,-60368.412440633816
705900.034,-66866.68172362813,6374.612733807253,-60492.06898982088
705900.035,-66898.46792499252,6414.666138266916,-60483.801786725606
705900.0360000001,-66901.78952803367,6363.913856272436,-60537.875671761234
705900.037,-66863.99649204558,6433.886223219917,-60430.110268825665
705900.0380000001,-66913.94595282138,6341.93268685269,-60572.013265968686
705900.039,-66906.90715347853,6405.948849834544,-60500.95830364399
705900.04,-66950.47966527981,6414.118722621466,-60536.36094265834
705900.0410000001,-66935.93954089345,6394.617303350062,-60541.32223754339
705900.042,-66950.2531073542,6387.487697247568,-60562.76541010664
705900.0430000001,-66938.93644099942,6583.910194600459,-60355.02624639896
705900.044,-66890.61587866736,6397.667661765741,-60492.94821690162
705900.045,-66898.25597051391,6441.941874501817,-60456.314096012095
705900.0460000001,-66922.17023833413,6575.456473914608,-60346.713764419525
705900.047,-66900.62502782892,6486.689005812129,-60413.936022016795
705900.0480000001,-66895.99857088672,6464.9454191210925,-60431.05315176563
705900.049,-66903.68678196054,6448.2458474263785,-60455.44093453416
705900.05,-66865.4859098345,6438.172564370516,-60427.31334546399
705900.051,-66867.6042587622,6352.252257660624,-60515.35200110158
705900.052,-66852.78764765251,6501.32686784764,-60351.460779804875
705900.0530000001,-66915.27790625303,6317.598006022125,-60597.679900230905
705900.054,-66931.40092230275,6465.130612561662,-60466.27030974109
705900.055,-66946.31170675144,6407.613319301953,-60538.69838744948
705900.056,-67001.68283903916,6372.707046630401,-60628.97579240876
705900.057,-66954.17642077524,6461.708694782356,-60492.46772599289
705900.0580000001,-66933.66661664043,6394.280057496895,-60539.38655914354
705900.059,-66937.57094616676,6361.774256343064,-60575.79668982369
705900.06,-66903.44659968298,6424.602757781158,-60478.84384190182
705900.061,-66901.61797747161,6511.47885882933,-60390.139118642284
705900.062,-66850.46865667179,6359.16262112554,-60491.306035546244
705900.0630000001,-66866.09097931543,6450.905690568876,-60415.18528874655
705900.064,-66901.84871540635,6435.792597011876,-60466.056118394474
705900.0650000001,-66919.66173934145,6389.0349738125315,-60530.62676552892
705900.066,-66880.53632674826,6520.809775463117,-60359.726551285145
705900.067,-66868.07770289088,6420.369074200853,-60447.70862869002
705900.0680000001,-66872.84299608303,6412.572634613616,-60460.27036146941
705900.069,-66922.11496609866,6425.628319025962,-60496.48664707269
705900.0700000001,-66901.36480335947,6481.306615641799,-60420.05818771767
705900.071,-66886.15740557635,6306.186111138097,-60579.97129443825
705900.072,-66861.74534331438,6296.680293729291,-60565.06504958509
705900.0730000001,-66854.59334139591,6424.447002446457,-60430.14633894946
705900.074,-66857.45395868307,6453.341475791683,-60404.11248289138
705900.0750000001,-66947.06008296016,6403.551535282757,-60543.508547677404
705900.076,-66945.63275818412,6429.254060370641,-60516.378697813474
705900.077,-66962.39150981931,6489.688067440482,-60472.70344237883
705900.078,-66962.67840339144,6508.459126568861,-60454.21927682258
705900.079,-66909.71453497608,6545.178868324727,-60364.535666651354
705900.0800000001,-66915.60458644648,6222.715397003549,-60692.88918944293
705900.081,-66924.1852795081,6453.475307450102,-60470.709972058
705900.082,-66868.75187568991,6385.030982532346,-60483.72089315756
705900.083,-66838.95750043163,6545.199565764273,-60293.75793466736
705900.084,-66782.85502867089,6470.279240506974,-60312.575788163915
705900.0850000001,-66772.97254254238,6479.469714695335,-60293.50282784705
