Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
1000.0010000000001,-225.88991812359,6425.337354793702,6199.4474366701115
1000.0020000000001,-224.76144147713114,6399.621560810299,6174.860119333168
1000.003,-225.9219877168107,6493.190690853111,6267.2687031363
1000.004,-226.87521738803986,6442.9041547916695,6216.028937403629
1000.005,-227.2920548703376,6417.397955026559,6190.105900156222
1000.0060000000001,-226.85958136474449,6385.598278449814,6158.738697085069
1000.0070000000001,-226.95462278676942,6525.255129709394,6298.300506922625
1000.008,-227.78163029567486,6466.48001635025,6238.698386054575
1000.009,-227.26055837661423,6416.4983865473805,6189.237828170766
1000.0100000000001,-228.0901581509571,6299.109142312591,6071.018984161634
1000.0110000000001,-227.9547899519457,6318.843987980081,6090.889198028135
1000.0120000000001,-227.39133024022445,6427.46860413101,6200.077273890785
1000.013,-227.5880555522341,6480.419967687198,6252.831912134963
1000.014,-228.66287766776387,6483.079197390893,6254.416319723129
1000.0150000000001,-227.89244741113168,6452.137571704383,6224.245124293251
1000.0160000000001,-228.1579726268248,6343.599992695506,6115.442020068682
1000.017,-228.77965267833366,6416.315053651424,6187.53540097309
1000.018,-228.83342713216805,6458.1258193064905,6229.292392174322
1000.019,-229.1824790864972,6372.190114206597,6143.0076351201
1000.0200000000001,-229.30812491189613,6329.209608164754,6099.901483252858
1000.0210000000001,-229.23132075882071,6470.06385580743,6240.832535048609
1000.022,-228.87970785641383,6565.745191028788,6336.865483172374
1000.023,-229.74679816379614,6403.236220680788,6173.489422516992
1000.024,-229.41140247032132,6514.079341605189,6284.667939134868
1000.0250000000001,-228.7693156847866,6402.208068647394,6173.438752962607
1000.0260000000001,-228.23714855278615,6423.732919073984,6195.495770521197
1000.027,-228.21579289516433,6614.283239214197,6386.067446319033
1000.028,-229.81137702013646,6460.414360680451,6230.602983660315
1000.029,-230.07847974475408,6481.846285628781,6251.7678058840265
1000.0300000000001,-230.31466703863043,6481.962637471319,6251.647970432688
1000.0310000000001,-230.46012224478807,6402.577357078346,6172.117234833558
1000.032,-230.60857174847507,6551.6424201215905,6321.033848373116
