Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
726600.001,-23401.283480853293,6547.089477399555,-16854.19400345374
726600.002,-23384.538001449466,6258.454531293636,-17126.08347015583
726600.003,-23391.285698706677,6484.559817148563,-16906.725881558115
726600.0040000001,-23374.835212532198,6303.344229029363,-17071.490983502834
726600.005,-23371.86442299547,6447.5764272138695,-16924.2879957816
726600.006,-23337.301423385907,6454.7975142157375,-16882.50390917017
726600.007,-23340.94312958357,6422.970283021722,-16917.97284656185
726600.008,-23369.294401373092,6489.223640137438,-16880.070761235653
726600.0090000001,-23366.890010468644,6562.498438656527,-16804.391571812117
726600.01,-23380.298507987212,6469.000254441975,-16911.29825354524
726600.011,-23377.899130615755,6351.105339031277,-17026.793791584478
726600.012,-23398.077618941512,6272.506717301741,-17125.57090163977
726600.013,-23378.519051167586,6379.014657600221,-16999.504393567368
726600.0140000001,-23361.690525687976,6373.084326021641,-16988.606199666334
726600.015,-23370.890939783,6417.446852939867,-16953.444086843134
726600.0160000001,-23372.67884858953,6449.156543682638,-16923.52230490689
726600.017,-23376.731118424064,6348.079761284948,-17028.651357139115
726600.018,-23372.589200684277,6609.564894619219,-16763.024306065057
726600.0190000001,-23366.017958557226,6492.601178335285,-16873.41678022194
726600.02,-23380.32549775063,6387.060426328007,-16993.265071422622
726600.0210000001,-23367.738094344724,6326.31785953599,-17041.420234808735
726600.022,-23372.314276941484,6434.164490554281,-16938.149786387203
726600.023,-23378.84245147244,6315.115115993095,-17063.727335479343
726600.0240000001,-23377.010484342747,6432.009622191019,-16945.000862151726
726600.025,-23365.300127756316,6464.641607904533,-16900.658519851782
726600.0260000001,-23367.391275063368,6485.344137679901,-16882.047137383466
726600.027,-23372.284527513642,6379.310565925387,-16992.973961588257
726600.028,-23356.396120380377,6418.554914569204,-16937.84120581117
726600.029,-23365.260663341767,6441.996345239972,-16923.264318101796
726600.03,-23359.266195612072,6471.051873388242,-16888.21432222383
726600.0310000001,-23333.59726930449,6540.626771105064,-16792.970498199425
726600.032,-23334.018448824052,6428.588318193614,-16905.430130630437
726600.033,-23313.87174170598,6321.134591713774,-16992.73714999221
726600.034,-23335.027789992408,6488.006665093874,-16847.021124898532
726600.035,-23335.91724081216,6344.6905310064,-16991.22670980576
726600.0360000001,-23329.23232363001,6435.93998789372,-16893.29233573629
726600.037,-23350.19108541454,6297.856960004474,-17052.334125410067
726600.0380000001,-23364.919847321336,6369.943993465562,-16994.975853855773
726600.039,-23367.315745221586,6340.462474584187,-17026.8532706374
726600.04,-23377.14381211008,6496.06009519706,-16881.08371691302
726600.0410000001,-23375.51361763847,6437.1448384097275,-16938.368779228742
726600.042,-23385.27529366337,6497.614295498155,-16887.660998165215
726600.0430000001,-23397.165109781665,6352.750446725577,-17044.414663056086
726600.044,-23400.444955488867,6467.101236633254,-16933.343718855613
726600.045,-23402.20855702074,6510.968748214187,-16891.239808806553
726600.0460000001,-23401.817875702218,6449.56382174597,-16952.254053956247
726600.047,-23422.954194813923,6413.918410376351,-17009.035784437572
726600.0480000001,-23402.460158421047,6353.982725996939,-17048.477432424108
726600.049,-23386.7408695497,6507.724346128002,-16879.0165234217
726600.05,-23394.528135078264,6313.692102432615,-17080.83603264565
726600.051,-23385.18312525045,6376.348050993553,-17008.835074256895
726600.052,-23389.297764227413,6453.25949010228,-16936.03827412513
726600.0530000001,-23370.90762270795,6376.0726692901735,-16994.834953417776
726600.054,-23357.627783372875,6308.349419658189,-17049.278363714686
726600.055,-23368.8973285432,6536.438005494173,-16832.459323049028
726600.056,-23359.92460497867,6489.409212795985,-16870.515392182686
726600.057,-23364.35022989829,6528.139186309738,-16836.21104358855
726600.0580000001,-23364.79026719502,6394.327410774387,-16970.462856420636
726600.059,-23358.65373183815,6379.174171721268,-16979.47956011688
726600.06,-23369.805795579956,6401.462043024653,-16968.3437525553
726600.061,-23362.170453379214,6416.546448616512,-16945.624004762703
726600.062,-23365.926334497035,6385.266875771018,-16980.65945872602
726600.0630000001,-23366.827506077887,6457.401173163498,-16909.426332914387
726600.064,-23357.41138374412,6348.940471003323,-17008.470912740795
726600.0650000001,-23351.345898948817,6267.061423586932,-17084.284475361885
726600.066,-23351.733629852148,6501.3960955252405,-16850.337534326907
726600.067,-23372.23434213426,6499.983187371665,-16872.251154762595
726600.0680000001,-23378.251673555485,6397.835511745439,-16980.416161810048
726600.069,-23397.05469380565,6246.040946477072,-17151.01374732858
726600.0700000001,-23408.2623872768,6436.335821146418,-16971.926566130383
726600.071,-23417.262390539796,6389.350410795884,-17027.911979743913
726600.072,-23409.208532576828,6421.01130249724,-16988.19723007959
726600.0730000001,-23383.611489416166,6473.63021552492,-16909.981273891244
726600.074,-23368.79688603055,6369.367639081349,-16999.4292469492
726600.0750000001,-23366.928302784232,6404.018793679336,-16962.909509104895
726600.076,-23361.486037127503,6455.235947617303,-16906.2500895102
726600.077,-23329.296681640575,6354.700422408474,-16974.5962592321
726600.078,-23340.20963401103,6388.3390558595065,-16951.870578151524
726600.079,-23340.92817723633,6419.8779045456995,-16921.050272690627
726600.0800000001,-23332.335467678226,6449.098153987918,-16883.237313690308
726600.081,-23327.42906845331,6547.032700523796,-16780.396367929516
726600.082,-23326.010111890824,6430.369974934448,-16895.640136956375
726600.083,-23323.5724253639,6498.214023823144,-16825.358401540754
726600.084,-23312.148764685313,6408.47478908829,-16903.673975597023
726600.0850000001,-23318.826140867863,6500.523318658961,-16818.3028222089
726600.086,-23321.49998695436,6550.684478228102,-16770.815508726257
726600.087,-23320.927970128614,6443.311300472316,-16877.616669656298
726600.088,-23303.78795227401,6589.708798665343,-16714.07915360867
726600.089,-23335.54837360393,6431.048986106444,-16904.499387497486
726600.0900000001,-23327.89549394477,6357.371115507562,-16970.524378437207
726600.091,-23326.06676201764,6441.552986151674,-16884.513775865966
726600.0920000001,-23333.32617858806,6395.2502211790825,-16938.07595740898
726600.093,-23323.82981084152,6506.285856651102,-16817.543954190416
726600.094,-23292.443164049917,6370.401955313958,-16922.04120873596
726600.0950000001,-23301.971604534323,6433.912662641116,-16868.058941893207
726600.096,-23301.061011411166,6282.473866211354,-17018.58714519981
726600.0970000001,-23300.941325989996,6512.870648299939,-16788.070677690055
726600.098,-23301.785356239263,6551.378719353012,-16750.40663688625
726600.099,-23315.468107416513,6439.551316897526,-16875.916790518986
726600.1,-23294.04171303553,6341.442695419716,-16952.599017615816
726600.2000000001,-23325.479016899095,6413.61414173973,-16911.864875159365
726600.3,-23354.80771728695,6540.3732335797795,-16814.43448370717
726600.4,-23306.66719367324,6425.1295123533255,-16881.53768131991
726600.5,-23354.820297368737,6477.230719726363,-16877.589577642375
726600.6,-23350.445656831012,6332.188037668038,-17018.257619162974
726600.7000000001,-23389.673774990843,6418.258214599857,-16971.415560390986
726600.8,-23317.971380998173,6393.076475051417,-16924.894905946756
726600.9,-23220.10352541758,6405.144387855287,-16814.95913756229
726601.0,-23202.87282517527,6383.966545411866,-16818.906279763403
726601.1,-23195.23275414812,6349.148592906951,-16846.084161241168
726601.2000000001,-23328.6040818514,6328.225318649931,-17000.378763201472
726601.3,-23284.15232146838,6360.982945031172,-16923.16937643721
726601.4,-23215.87793976431,6456.566295745538,-16759.31164401877
726601.5,-23328.532735178545,6432.428616479454,-16896.10411869909
726601.6,-23319.441683772508,6347.148460234437,-16972.293223538072
726601.7000000001,-23356.84669581262,6385.075878204471,-16971.770817608147
726601.8,-23330.256812925596,6382.872468749425,-16947.38434417617
726601.9,-23272.445351408816,6240.113965577955,-17032.33138583086
726602.0,-23267.02591147089,6312.237526290766,-16954.788385180123
726602.1,-23285.633113604243,6473.416182714758,-16812.216930889485
726602.2000000001,-23297.896342622273,6198.600051146923,-17099.29629147535
726602.3,-23248.61511930963,6482.0862164161335,-16766.528902893497
726602.4,-23335.12723361334,6508.182880387323,-16826.94435322602
726602.5,-23344.927031003543,6430.871479045916,-16914.055551957626
726602.6,-23322.040180509277,6430.099569599384,-16891.940610909893
726602.7000000001,-23248.916598236516,6431.306818117599,-16817.609780118917
726602.8,-23215.14271111852,6377.762822012903,-16837.379889105614
726602.9,-23313.687244485765,6523.80740190853,-16789.879842577237
726603.0,-23346.49234417472,6399.240052877469,-16947.25229129725
726603.1,-23265.55232646738,6488.1147033060515,-16777.437623161328
726603.2000000001,-23277.106279444062,6463.1708521589335,-16813.935427285127
726603.3,-23292.203223202305,6509.984763881568,-16782.218459320735
726603.4,-23282.65554231418,6417.913516976768,-16864.74202533741
726603.5,-23200.975775190702,6364.952352234344,-16836.023422956358
726603.6,-23351.085664400838,6512.970260168576,-16838.115404232263
726603.7000000001,-23296.597282926406,6336.252934059927,-16960.344348866478
