Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
1000.0010000000001,-73.37470565918629,6374.901370874903,6301.526665215716
1000.0020000000001,-73.26429706010573,6401.345185024485,6328.080887964379
1000.003,-73.0360807696646,6351.414012902115,6278.377932132451
1000.004,-73.09229035875127,6354.795369130557,6281.703078771806
1000.005,-73.45962511504082,6474.015052165709,6400.555427050668
1000.0060000000001,-73.54549769378144,6430.586490094493,6357.040992400711
1000.0070000000001,-73.66169769777551,6457.019505874567,6383.357808176791
1000.008,-73.82946053481936,6507.54180695436,6433.712346419541
1000.009,-73.89398516246663,6507.447984493478,6433.553999331011
1000.0100000000001,-73.76475010062373,6361.107576143782,6287.342826043158
1000.0110000000001,-74.1758696663131,6400.764449553126,6326.588579886813
1000.0120000000001,-74.19040397713974,6456.874051579196,6382.683647602056
1000.013,-73.97245483231447,6387.19209511394,6313.219640281625
1000.014,-74.17392362143963,6368.731952882937,6294.558029261497
1000.0150000000001,-74.27357588635533,6512.979966766081,6438.706390879725
1000.0160000000001,-74.18255960421772,6397.212688603227,6323.030128999009
1000.017,-74.49515618129695,6375.538427047285,6301.043270865988
1000.018,-74.96801430283284,6491.501558322088,6416.533544019256
1000.019,-75.0644238411602,6248.685070695297,6173.620646854137
1000.0200000000001,-74.95773710349337,6309.362357616142,6234.404620512649
1000.0210000000001,-74.96221214201168,6356.176395628145,6281.214183486133
1000.022,-74.97098880282553,6358.358343649852,6283.3873548470265
1000.023,-74.74643317822591,6390.47240995103,6315.725976772805
1000.024,-75.1393836679506,6434.87291338578,6359.733529717829
1000.0250000000001,-75.26085610739659,6460.95783667521,6385.696980567814
1000.0260000000001,-75.22605254277869,6351.702500188689,6276.4764476459095
1000.027,-75.34739547127563,6419.400683657692,6344.0532881864165
1000.028,-75.10585554103574,6426.005431156613,6350.899575615577
1000.029,-75.49167555730548,6435.786141294648,6360.294465737342
1000.0300000000001,-75.41810112253751,6433.64538491155,6358.227283789012
1000.0310000000001,-75.4060688202899,6466.112575968697,6390.706507148407
1000.032,-75.39181816915107,6501.472124362783,6426.080306193631
1000.033,-75.31123246775738,6412.037946295376,6336.726713827618
1000.034,-75.4781360100109,6413.891002721439,6338.412866711428
1000.0350000000001,-75.3874913579474,6328.586507852632,6253.199016494685
1000.0360000000001,-75.04595133058241,6450.87757140527,6375.831620074688
1000.037,-75.15894617567972,6530.87692685861,6455.717980682931
1000.038,-75.27790045636053,6405.627775212344,6330.349874755983
1000.0390000000001,-74.95611376915211,6466.918320852865,6391.962207083713
1000.0400000000001,-75.48233155270674,6383.404648158278,6307.922316605572
1000.041,-75.64863338106187,6292.114340939443,6216.465707558381
1000.042,-75.30786806486013,6442.386254762562,6367.078386697702
1000.043,-75.63646459838964,6527.56696265648,6451.930498058091
1000.0440000000001,-75.54413923111679,6491.35321239004,6415.809073158924
1000.0450000000001,-75.70959646108275,6407.567068252385,6331.8574717913025
1000.046,-75.84210686860243,6376.318962368955,6300.476855500353
1000.047,-75.43079545630923,6377.637708427501,6302.206912971192
1000.048,-74.93672351810915,6480.770783579528,6405.834060061419
1000.0490000000001,-75.3045537014138,6457.355242233287,6382.050688531873
1000.0500000000001,-75.06486944226961,6484.219759200492,6409.154889758222
1000.051,-75.04243556203946,6395.344273824499,6320.30183826246
1000.052,-75.53322423948069,6494.483008731218,6418.949784491738
1000.053,-75.69276153248232,6455.593262668763,6379.900501136281
1000.0540000000001,-75.74374590828403,6371.659410750066,6295.915664841782
1000.0550000000001,-75.8021036507746,6414.408147951856,6338.606044301082
1000.056,-75.8927057603139,6565.460291076205,6489.567585315891
1000.057,-75.39048312336402,6305.373527306971,6229.983044183607
1000.058,-75.6620090229319,6350.069210266438,6274.407201243506
1000.0590000000001,-75.54429709513929,6447.6485804392105,6372.1042833440715
1000.0600000000001,-75.5589537732868,6411.879662534937,6336.32070876165
1000.061,-75.53351962485274,6448.427495341736,6372.893975716884
1000.062,-75.5233739133349,6222.127096880591,6146.6037229672565
1000.0630000000001,-75.39686483744435,6363.468703628761,6288.071838791317
1000.0640000000001,-75.55509657238667,6415.853052772126,6340.297956199739
1000.065,-75.1714055463626,6447.749334238988,6372.577928692625
1000.066,-75.17777252681462,6310.808099540413,6235.630327013599
1000.067,-75.6128549519341,6292.36961349225,6216.756758540316
1000.0680000000001,-75.25583544003618,6333.577543816957,6258.3217083769205
1000.0690000000001,-75.50344577644083,6462.050007529506,6386.546561753065
1000.07,-75.66824203484917,6504.6220658918755,6428.953823857027
1000.071,-75.44270755821206,6562.935483551948,6487.492775993736
1000.072,-75.64099490431055,6284.757205795333,6209.116210891022
1000.0730000000001,-75.37726225999222,6340.159369831022,6264.782107571029
1000.0740000000001,-75.44799567758588,6337.754292381716,6262.306296704131
1000.075,-75.4878937236243,6302.888396114497,6227.400502390872
1000.076,-75.89232730261324,6319.212279201527,6243.319951898914
1000.077,-75.82892198960506,6457.419848735081,6381.590926745476
1000.0780000000001,-75.57933475515391,6282.784375390515,6207.205040635362
1000.0790000000001,-75.89684892852819,6365.008622463438,6289.11177353491
1000.08,-76.21861782177754,6276.311977893858,6200.093360072081
1000.081,-75.86207258682984,6400.940236757823,6325.078164170994
1000.082,-75.73141855464223,6337.59081871194,6261.859400157298
1000.0830000000001,-75.94113964705214,6431.0546837706515,6355.113544123599
1000.0840000000001,-75.78649132031249,6516.329395486512,6440.5429041662
1000.085,-75.7639129267934,6395.716221879191,6319.952308952397
1000.086,-75.87416084227894,6482.155939971035,6406.281779128756
1000.0870000000001,-76.03641825466545,6384.520912353448,6308.484494098782
1000.0880000000001,-76.37990911048372,6368.887032813581,6292.507123703097
1000.089,-76.61666063880895,6306.972364425494,6230.355703786685
1000.09,-76.8460544522398,6420.484194964789,6343.638140512549
1000.091,-76.87202205006723,6470.164446304461,6393.292424254394
1000.0920000000001,-76.76126368201021,6268.043543021272,6191.282279339262
1000.0930000000001,-76.95809922124263,6465.993294236701,6389.035195015459
1000.094,-77.43288790200299,6302.451561121934,6225.018673219931
1000.095,-77.49633250518181,6385.584281379277,6308.087948874095
1000.096,-77.43712132314703,6315.552208944535,6238.115087621388
1000.0970000000001,-77.73205682582017,6411.61885093722,6333.8867941113995
1000.0980000000001,-77.45882256504511,6567.176783237963,6489.717960672918
1000.099,-77.79215039032292,6337.280881489223,6259.488731098901
1000.1,-77.9578347501832,6492.191702722195,6414.233867972012
1000.2,-83.33208414492987,6518.002641427816,6434.670557282887
1000.3000000000001,-92.16715265208171,6437.8199649927155,6345.652812340634
1000.4000000000001,-101.84020320569964,6410.051741871377,6308.211538665678
1000.5,-112.75840386060369,6428.918741617232,6316.160337756628
1000.6,-123.12652054875447,6452.4226691636895,6329.296148614935
1000.7,-134.8933105073034,6462.973273729789,6328.079963222485
1000.8000000000001,-147.88153508193403,6457.915249631282,6310.033714549348
1000.9000000000001,-157.5577129688808,6404.868678222935,6247.310965254054
1001.0,-161.31419627019937,6407.723277022045,6246.409080751846
1001.1,-177.85919612187263,6423.587793782201,6245.728597660328
1001.2,-189.0556607773039,6470.503338912327,6281.447678135023
1001.3000000000001,-205.50752007959534,6412.240766913763,6206.733246834167
1001.4000000000001,-217.48855516291133,6425.708045016141,6208.21948985323
1001.5,-224.54822425548338,6443.667850761968,6219.119626506485
1001.6,-231.8925930952724,6320.664382768414,6088.771789673141
1001.7,-243.10208364113663,6323.931668369314,6080.829584728178
1001.8000000000001,-253.58604348009197,6112.952923244215,5859.366879764123
1001.9000000000001,-261.60010534686745,6305.562614789465,6043.962509442598
1002.0,-277.96357392967445,6403.343750990015,6125.38017706034
1002.1,-287.4330675897382,6433.788358645979,6146.355291056241
1002.2,-299.16506358970366,6474.803481307512,6175.638417717808
1002.3000000000001,-299.22365548159024,6485.758105713681,6186.534450232091
1002.4000000000001,-322.45933886251265,6456.039788638685,6133.580449776173
1002.5,-336.28813245722887,6460.120331787322,6123.832199330093
1002.6,-338.2708497463842,6391.944465441084,6053.673615694699
1002.7,-345.4340348360439,6420.546011649196,6075.111976813152
1002.8000000000001,-351.51975320108795,6425.061229846256,6073.541476645168
1002.9000000000001,-353.0517273475026,6464.900342278384,6111.848614930882
1003.0,-352.7936511274336,6438.214853225128,6085.421202097694
1003.1,-361.3736692219089,6452.395068577277,6091.021399355368
1003.2,-359.1309947096258,6397.445701686049,6038.314706976423
1003.3000000000001,-369.93899278779605,6594.199333492964,6224.260340705167
1003.4000000000001,-378.60863039758317,6377.916887892008,5999.308257494425
1003.5,-378.74150574307436,6355.847412390227,5977.105906647153
1003.6,-384.2594227452199,6422.39634049051,6038.13691774529
1003.7,-386.5250603448451,6427.203674377104,6040.678614032259
1003.8000000000001,-378.42392450487534,6357.647157729612,5979.223233224737
1003.9000000000001,-381.7769164165946,6436.909593886538,6055.132677469943
1004.0,-388.8669979203959,6557.6011114144285,6168.7341134940325
1004.1,-395.9817303701045,6452.076996540613,6056.095266170509
1004.2,-399.82794753111796,6491.453908189835,6091.625960658716
1004.3000000000001,-408.3649750798475,6369.011368633711,5960.646393553863
1004.4000000000001,-431.3389928082412,6393.707135824103,5962.368143015861
1004.5,-437.612648420102,6570.679222375282,6133.06657395518
1004.6,-442.78353325901287,6438.975752125717,5996.192218866704
1004.7,-449.29782918093736,6395.646072011605,5946.348242830667
