,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
0,Frame1_Cluster0,856,856000,-24,642.0
1,Frame1_Cluster1,634,634000,9,475.5
2,Frame1_Cluster2,484,484000,-27,363.0
3,Frame1_Cluster3,325,325000,36,243.75
4,Frame1_Cluster4,265,265000,12,198.75
5,Frame1_Cluster5,248,248000,3,186.0
6,Frame1_Cluster6,233,233000,-30,174.75
7,Frame1_Cluster7,214,214000,15,160.5
8,Frame1_Cluster8,159,159000,12,119.25
9,Frame1_Cluster9,105,105000,0,78.75
10,Frame1_Cluster10,79,79000,-15,59.25
11,Frame1_Cluster11,75,75000,-6,56.25
12,Frame1_Cluster12,69,69000,9,51.75
13,Frame1_Cluster13,65,65000,9,48.75
14,Frame1_Cluster14,55,55000,-3,41.25
15,Frame1_Cluster15,13,13000,3,9.75
16,Frame2_Cluster0,856,856000,-24,642.0
17,Frame2_Cluster1,634,634000,9,475.5
18,Frame2_Cluster2,484,484000,-27,363.0
19,Frame2_Cluster3,325,325000,36,243.75
20,Frame2_Cluster4,265,265000,12,198.75
21,Frame2_Cluster5,248,248000,3,186.0
22,Frame2_Cluster6,233,233000,-30,174.75
23,Frame2_Cluster7,214,214000,15,160.5
24,Frame2_Cluster8,159,159000,12,119.25
25,Frame2_Cluster9,105,105000,0,78.75
26,Frame2_Cluster10,79,79000,-15,59.25
27,Frame2_Cluster11,75,75000,-6,56.25
28,Frame2_Cluster12,69,69000,9,51.75
29,Frame2_Cluster13,65,65000,9,48.75
30,Frame2_Cluster14,55,55000,-3,41.25
31,Frame2_Cluster15,13,13000,3,9.75
32,Frame3_Cluster0,856,856000,-24,642.0
33,Frame3_Cluster1,634,634000,9,475.5
34,Frame3_Cluster2,484,484000,-27,363.0
35,Frame3_Cluster3,325,325000,36,243.75
36,Frame3_Cluster4,265,265000,12,198.75
37,Frame3_Cluster5,248,248000,3,186.0
38,Frame3_Cluster6,233,233000,-30,174.75
39,Frame3_Cluster7,214,214000,15,160.5
40,Frame3_Cluster8,159,159000,12,119.25
41,Frame3_Cluster9,105,105000,0,78.75
42,Frame3_Cluster10,79,79000,-15,59.25
43,Frame3_Cluster11,75,75000,-6,56.25
44,Frame3_Cluster12,69,69000,9,51.75
45,Frame3_Cluster13,65,65000,9,48.75
46,Frame3_Cluster14,55,55000,-3,41.25
47,Frame3_Cluster15,13,13000,3,9.75
48,Frame4_Cluster0,856,856000,-24,642.0
49,Frame4_Cluster1,634,634000,9,475.5
50,Frame4_Cluster2,484,484000,-27,363.0
51,Frame4_Cluster3,325,325000,36,243.75
52,Frame4_Cluster4,265,265000,12,198.75
53,Frame4_Cluster5,248,248000,3,186.0
54,Frame4_Cluster6,233,233000,-30,174.75
55,Frame4_Cluster7,214,214000,15,160.5
56,Frame4_Cluster8,159,159000,12,119.25
57,Frame4_Cluster9,105,105000,0,78.75
58,Frame4_Cluster10,79,79000,-15,59.25
59,Frame4_Cluster11,75,75000,-6,56.25
60,Frame4_Cluster12,69,69000,9,51.75
61,Frame4_Cluster13,65,65000,9,48.75
62,Frame4_Cluster14,55,55000,-3,41.25
63,Frame4_Cluster15,13,13000,3,9.75
64,Frame5_Cluster0,856,856000,-24,642.0
65,Frame5_Cluster1,634,634000,9,475.5
66,Frame5_Cluster2,484,484000,-27,363.0
67,Frame5_Cluster3,325,325000,36,243.75
68,Frame5_Cluster4,265,265000,12,198.75
69,Frame5_Cluster5,248,248000,3,186.0
70,Frame5_Cluster6,233,233000,-30,174.75
71,Frame5_Cluster7,214,214000,15,160.5
72,Frame5_Cluster8,159,159000,12,119.25
73,Frame5_Cluster9,105,105000,0,78.75
74,Frame5_Cluster10,79,79000,-15,59.25
75,Frame5_Cluster11,75,75000,-6,56.25
76,Frame5_Cluster12,69,69000,9,51.75
77,Frame5_Cluster13,65,65000,9,48.75
78,Frame5_Cluster14,55,55000,-3,41.25
79,Frame5_Cluster15,13,13000,3,9.75
80,Frame6_Cluster0,856,856000,-24,642.0
81,Frame6_Cluster1,634,634000,9,475.5
82,Frame6_Cluster2,484,484000,-27,363.0
83,Frame6_Cluster3,325,325000,36,243.75
84,Frame6_Cluster4,265,265000,12,198.75
85,Frame6_Cluster5,248,248000,3,186.0
86,Frame6_Cluster6,233,233000,-30,174.75
87,Frame6_Cluster7,214,214000,15,160.5
88,Frame6_Cluster8,159,159000,12,119.25
89,Frame6_Cluster9,105,105000,0,78.75
90,Frame6_Cluster10,79,79000,-15,59.25
91,Frame6_Cluster11,75,75000,-6,56.25
92,Frame6_Cluster12,69,69000,9,51.75
93,Frame6_Cluster13,65,65000,9,48.75
94,Frame6_Cluster14,55,55000,-3,41.25
95,Frame6_Cluster15,13,13000,3,9.75
96,Frame7_Cluster0,856,856000,-24,642.0
97,Frame7_Cluster1,634,634000,9,475.5
98,Frame7_Cluster2,484,484000,-27,363.0
99,Frame7_Cluster3,325,325000,36,243.75
100,Frame7_Cluster4,265,265000,12,198.75
101,Frame7_Cluster5,248,248000,3,186.0
102,Frame7_Cluster6,233,233000,-30,174.75
103,Frame7_Cluster7,214,214000,15,160.5
104,Frame7_Cluster8,159,159000,12,119.25
105,Frame7_Cluster9,105,105000,0,78.75
106,Frame7_Cluster10,79,79000,-15,59.25
107,Frame7_Cluster11,75,75000,-6,56.25
108,Frame7_Cluster12,69,69000,9,51.75
109,Frame7_Cluster13,65,65000,9,48.75
110,Frame7_Cluster14,55,55000,-3,41.25
111,Frame7_Cluster15,13,13000,3,9.75
112,Frame8_Cluster0,856,856000,-24,642.0
113,Frame8_Cluster1,634,634000,9,475.5
114,Frame8_Cluster2,484,484000,-27,363.0
115,Frame8_Cluster3,325,325000,36,243.75
116,Frame8_Cluster4,265,265000,12,198.75
117,Frame8_Cluster5,248,248000,3,186.0
118,Frame8_Cluster6,233,233000,-30,174.75
119,Frame8_Cluster7,214,214000,15,160.5
120,Frame8_Cluster8,159,159000,12,119.25
121,Frame8_Cluster9,105,105000,0,78.75
122,Frame8_Cluster10,79,79000,-15,59.25
123,Frame8_Cluster11,74,74000,-3,55.5
124,Frame8_Cluster12,69,69000,9,51.75
125,Frame8_Cluster13,65,65000,9,48.75
126,Frame8_Cluster14,55,55000,-3,41.25
127,Frame8_Cluster15,13,13000,3,9.75
128,Frame9_Cluster0,856,856000,-24,642.0
129,Frame9_Cluster1,634,634000,9,475.5
130,Frame9_Cluster2,484,484000,-27,363.0
131,Frame9_Cluster3,325,325000,36,243.75
132,Frame9_Cluster4,265,265000,12,198.75
133,Frame9_Cluster5,249,249000,6,186.75
134,Frame9_Cluster6,233,233000,-30,174.75
135,Frame9_Cluster7,214,214000,15,160.5
136,Frame9_Cluster8,159,159000,12,119.25
137,Frame9_Cluster9,105,105000,0,78.75
138,Frame9_Cluster10,79,79000,-15,59.25
139,Frame9_Cluster11,74,74000,-3,55.5
140,Frame9_Cluster12,69,69000,9,51.75
141,Frame9_Cluster13,65,65000,9,48.75
142,Frame9_Cluster14,55,55000,-3,41.25
143,Frame9_Cluster15,13,13000,3,9.75
144,Frame10_Cluster0,856,856000,-24,642.0
145,Frame10_Cluster1,634,634000,9,475.5
