,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
0,Frame1_Cluster0,586,586000,0,439.5
1,Frame1_Cluster1,432,432000,0,324.0
2,Frame1_Cluster2,414,414000,0,310.5
3,Frame1_Cluster3,389,389000,0,291.75
4,Frame1_Cluster4,352,352000,0,264.0
5,Frame1_Cluster5,312,312000,0,234.0
6,Frame1_Cluster6,291,291000,0,218.25
7,Frame1_Cluster7,244,244000,0,183.0
8,Frame1_Cluster8,241,241000,0,180.75
9,Frame1_Cluster9,207,207000,0,155.25
10,Frame1_Cluster10,206,206000,0,154.5
11,Frame1_Cluster11,138,138000,0,103.5
12,Frame2_Cluster0,586,586000,0,439.5
13,Frame2_Cluster1,432,432000,0,324.0
14,Frame2_Cluster2,414,414000,0,310.5
15,Frame2_Cluster3,389,389000,0,291.75
16,Frame2_Cluster4,352,352000,0,264.0
17,Frame2_Cluster5,313,313000,0,234.75
18,Frame2_Cluster6,291,291000,0,218.25
19,Frame2_Cluster7,244,244000,0,183.0
20,Frame2_Cluster8,241,241000,0,180.75
21,Frame2_Cluster9,207,207000,0,155.25
22,Frame2_Cluster10,206,206000,0,154.5
23,Frame2_Cluster11,138,138000,0,103.5
24,Frame3_Cluster0,586,586000,0,439.5
25,Frame3_Cluster1,433,433000,0,324.75
26,Frame3_Cluster2,414,414000,0,310.5
27,Frame3_Cluster3,389,389000,0,291.75
28,Frame3_Cluster4,352,352000,0,264.0
29,Frame3_Cluster5,313,313000,0,234.75
30,Frame3_Cluster6,291,291000,0,218.25
31,Frame3_Cluster7,244,244000,0,183.0
32,Frame3_Cluster8,241,241000,0,180.75
33,Frame3_Cluster9,207,207000,0,155.25
34,Frame3_Cluster10,206,206000,0,154.5
35,Frame3_Cluster11,138,138000,0,103.5
36,Frame4_Cluster0,586,586000,0,439.5
37,Frame4_Cluster1,433,433000,0,324.75
38,Frame4_Cluster2,414,414000,0,310.5
39,Frame4_Cluster3,389,389000,0,291.75
40,Frame4_Cluster4,352,352000,0,264.0
41,Frame4_Cluster5,313,313000,0,234.75
42,Frame4_Cluster6,292,292000,0,219.0
43,Frame4_Cluster7,244,244000,0,183.0
44,Frame4_Cluster8,241,241000,0,180.75
45,Frame4_Cluster9,207,207000,0,155.25
46,Frame4_Cluster10,206,206000,0,154.5
47,Frame4_Cluster11,138,138000,0,103.5
48,Frame5_Cluster0,586,586000,0,439.5
49,Frame5_Cluster1,433,433000,0,324.75
50,Frame5_Cluster2,414,414000,0,310.5
51,Frame5_Cluster3,389,389000,0,291.75
52,Frame5_Cluster4,352,352000,0,264.0
53,Frame5_Cluster5,313,313000,0,234.75
54,Frame5_Cluster6,292,292000,0,219.0
55,Frame5_Cluster7,244,244000,0,183.0
56,Frame5_Cluster8,241,241000,0,180.75
57,Frame5_Cluster9,207,207000,0,155.25
58,Frame5_Cluster10,206,206000,0,154.5
59,Frame5_Cluster11,138,138000,0,103.5
60,Frame6_Cluster0,586,586000,0,439.5
61,Frame6_Cluster1,433,433000,0,324.75
62,Frame6_Cluster2,414,414000,0,310.5
63,Frame6_Cluster3,389,389000,0,291.75
64,Frame6_Cluster4,352,352000,0,264.0
65,Frame6_Cluster5,313,313000,0,234.75
66,Frame6_Cluster6,292,292000,0,219.0
67,Frame6_Cluster7,244,244000,0,183.0
68,Frame6_Cluster8,241,241000,0,180.75
69,Frame6_Cluster9,207,207000,0,155.25
70,Frame6_Cluster10,206,206000,0,154.5
71,Frame6_Cluster11,138,138000,0,103.5
72,Frame7_Cluster0,586,586000,0,439.5
73,Frame7_Cluster1,433,433000,0,324.75
74,Frame7_Cluster2,414,414000,0,310.5
75,Frame7_Cluster3,389,389000,0,291.75
76,Frame7_Cluster4,351,351000,0,263.25
77,Frame7_Cluster5,313,313000,0,234.75
78,Frame7_Cluster6,292,292000,0,219.0
79,Frame7_Cluster7,244,244000,0,183.0
80,Frame7_Cluster8,241,241000,0,180.75
81,Frame7_Cluster9,207,207000,0,155.25
82,Frame7_Cluster10,206,206000,0,154.5
83,Frame7_Cluster11,138,138000,0,103.5
84,Frame8_Cluster0,586,586000,0,439.5
85,Frame8_Cluster1,433,433000,0,324.75
86,Frame8_Cluster2,414,414000,0,310.5
87,Frame8_Cluster3,389,389000,0,291.75
88,Frame8_Cluster4,351,351000,0,263.25
89,Frame8_Cluster5,313,313000,0,234.75
90,Frame8_Cluster6,292,292000,0,219.0
91,Frame8_Cluster7,244,244000,0,183.0
92,Frame8_Cluster8,241,241000,0,180.75
93,Frame8_Cluster9,207,207000,0,155.25
94,Frame8_Cluster10,206,206000,0,154.5
95,Frame8_Cluster11,138,138000,0,103.5
96,Frame9_Cluster0,586,586000,0,439.5
97,Frame9_Cluster1,433,433000,0,324.75
98,Frame9_Cluster2,414,414000,0,310.5
99,Frame9_Cluster3,389,389000,0,291.75
100,Frame9_Cluster4,351,351000,0,263.25
101,Frame9_Cluster5,313,313000,0,234.75
102,Frame9_Cluster6,292,292000,0,219.0
103,Frame9_Cluster7,244,244000,0,183.0
104,Frame9_Cluster8,241,241000,0,180.75
105,Frame9_Cluster9,207,207000,0,155.25
106,Frame9_Cluster10,206,206000,0,154.5
107,Frame9_Cluster11,138,138000,0,103.5
108,Frame10_Cluster0,586,586000,0,439.5
109,Frame10_Cluster1,433,433000,0,324.75
110,Frame10_Cluster2,414,414000,0,310.5
111,Frame10_Cluster3,389,389000,0,291.75
112,Frame10_Cluster4,352,352000,0,264.0
113,Frame10_Cluster5,313,313000,0,234.75
114,Frame10_Cluster6,292,292000,0,219.0
115,Frame10_Cluster7,244,244000,0,183.0
