Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
600500.001,-55138.74993582168,6465.3773845251035,-48673.372551296576
600500.002,-55181.40974767384,6375.460105729863,-48805.949641943975
600500.003,-55138.796064410126,6352.6890881869585,-48786.106976223164
600500.0040000001,-55182.5976360192,6380.187522792168,-48802.41011322703
600500.005,-55181.77164335067,6390.931982370574,-48790.8396609801
600500.006,-55176.2048445993,6482.373015979063,-48693.831828620234
600500.007,-55146.73486789192,6387.0013354170715,-48759.73353247485
600500.008,-55140.2128706828,6557.08526689032,-48583.12760379248
600500.0090000001,-55150.59888314956,6395.093253981668,-48755.50562916789
600500.01,-55174.574676306394,6381.27814618975,-48793.29653011664
600500.011,-55247.709760062,6462.278353664857,-48785.43140639715
600500.012,-55182.842584606595,6603.157478055474,-48579.68510655112
600500.013,-55170.99293948335,6187.805075726226,-48983.18786375713
600500.0140000001,-55213.08084915814,6436.733375279501,-48776.34747387864
600500.015,-55249.701267174925,6341.451762226853,-48908.24950494807
600500.0160000001,-55221.6077644419,6593.153442961572,-48628.45432148033
600500.017,-55196.36996355207,6505.19085402324,-48691.17910952883
600500.018,-55172.223674422115,6444.805763552561,-48727.41791086955
600500.019,-55182.48285944568,6455.439673740959,-48727.04318570472
600500.02,-55131.84425776185,6359.553011501979,-48772.29124625987
600500.0210000001,-55116.61047885618,6335.494614786572,-48781.11586406961
600500.022,-55133.535711605124,6488.486721287641,-48645.04899031748
600500.023,-55119.35795076846,6573.583882926723,-48545.77406784174
600500.024,-55088.53078926199,6381.353236691404,-48707.17755257059
600500.025,-55140.58374455601,6456.395301640432,-48684.188442915576
600500.0260000001,-55105.00685887263,6463.301857374627,-48641.705001498005
600500.027,-55197.424946603845,6395.970250896675,-48801.45469570717
600500.028,-55153.52673186407,6435.955566504017,-48717.57116536005
600500.029,-55182.977752987936,6393.074357978008,-48789.903395009926
600500.03,-55176.03376506126,6408.9486698766705,-48767.085095184586
600500.0310000001,-55176.91007238978,6483.592096602206,-48693.31797578758
600500.032,-55146.66720296996,6338.085929542383,-48808.58127342758
600500.033,-55126.57529020285,6432.306030747794,-48694.26925945505
600500.034,-55172.14626782277,6405.012843218265,-48767.1334246045
600500.035,-55219.41713096576,6413.89912085729,-48805.51801010847
600500.0360000001,-55250.222071554395,6427.266636176439,-48822.95543537795
600500.037,-55254.18266930069,6463.8953165922885,-48790.2873527084
600500.0380000001,-55256.556547225126,6481.482093641338,-48775.07445358379
600500.039,-55182.95950895372,6369.471883674175,-48813.487625279544
600500.04,-55192.32311054942,6493.082211244586,-48699.24089930483
600500.0410000001,-55173.28465011166,6449.468131903677,-48723.81651820798
600500.042,-55228.39386508797,6428.459161912343,-48799.934703175626
600500.0430000001,-55240.67491439983,6437.894154323316,-48802.780760076515
600500.044,-55185.620779293095,6483.593470673388,-48702.027308619705
600500.045,-55175.12464547933,6637.385789881729,-48537.7388555976
600500.046,-55165.980638451045,6520.09527853724,-48645.8853599138
600500.047,-55181.24924566607,6426.015114478254,-48755.23413118781
600500.0480000001,-55168.67494669692,6389.438803902439,-48779.23614279448
600500.049,-55160.27623915392,6474.074845567928,-48686.201393585994
600500.05,-55191.9313333483,6454.362709527461,-48737.56862382084
600500.051,-55149.59531801153,6427.673590688899,-48721.92172732263
600500.052,-55218.87553024125,6593.776014201028,-48625.099516040216
600500.0530000001,-55258.13060854969,6321.2797474399995,-48936.85086110969
600500.054,-55248.45735100782,6334.2840996118175,-48914.173251396
600500.055,-55236.24143521249,6372.155056025144,-48864.08637918735
600500.056,-55289.1586366376,6404.958298855538,-48884.200337782066
600500.057,-55253.75929016941,6417.068472467459,-48836.69081770195
600500.0580000001,-55231.76694830536,6635.156343339873,-48596.61060496549
600500.059,-55260.270366574674,6532.333776073265,-48727.93659050141
600500.06,-55258.34297635301,6400.448472558895,-48857.894503794116
600500.061,-55303.11837627298,6408.89864125289,-48894.21973502009
600500.062,-55243.84574064528,6281.6799001649315,-48962.165840480346
600500.0630000001,-55195.82133764896,6476.805144207418,-48719.01619344154
600500.064,-55143.74781247512,6407.892773008385,-48735.85503946674
600500.0650000001,-55180.788340155785,6445.685244497553,-48735.10309565823
600500.066,-55196.73871661887,6323.577658791881,-48873.16105782699
600500.067,-55185.60841545678,6574.427827596352,-48611.18058786043
600500.0680000001,-55228.01069174968,6420.055803835673,-48807.954887914006
600500.069,-55269.994244722606,6390.422302285383,-48879.57194243722
600500.0700000001,-55263.4343427949,6344.543713863526,-48918.890628931375
600500.071,-55226.97745292982,6438.2156107240435,-48788.76184220578
600500.072,-55302.78260199548,6321.55710759753,-48981.22549439795
600500.073,-55258.024099659546,6370.100834487073,-48887.923265172474
600500.074,-55274.16018151307,6531.1066122418815,-48743.053569271186
600500.0750000001,-55249.32737120356,6390.369579433285,-48858.95779177027
600500.076,-55299.154708771275,6209.526831611489,-49089.627877159786
600500.077,-55314.58694881239,6451.935457099343,-48862.65149171305
600500.078,-55359.42096402348,6314.508531490415,-49044.91243253306
600500.079,-55322.90244320975,6310.81969434518,-49012.082748864574
600500.0800000001,-55335.58616232498,6476.215499771535,-48859.37066255345
600500.081,-55327.70268200952,6342.496172015174,-48985.20650999434
600500.082,-55321.30545582382,6217.201013278076,-49104.104442545744
600500.083,-55307.30891319678,6325.477231731388,-48981.83168146539
600500.084,-55283.702952690815,6543.491661974896,-48740.21129071592
600500.0850000001,-55293.84562198541,6422.552946367038,-48871.29267561837
