,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
0,Frame1_Cluster0,9,10145.300000000001,-5.25,8.719976214617125
1,Frame1_Cluster1,8,7998.200000000001,-7.5,7.813317476411417
2,Frame1_Cluster2,8,8776.2,-4.5,7.813317476411417
3,Frame1_Cluster3,5,6146.2,-1.5,4.813317476411416
4,Frame1_Cluster4,5,7157.299999999999,0.75,4.719976214617124
5,Frame1_Cluster5,5,5913.1,-0.75,4.906658738205708
6,Frame1_Cluster6,5,6146.2,-1.5,4.813317476411416
7,Frame1_Cluster7,5,6924.200000000001,1.5,4.813317476411416
8,Frame1_Cluster8,4,4777.1,-0.75,3.906658738205708
9,Frame1_Cluster9,4,4777.1,-0.75,3.906658738205708
10,Frame1_Cluster10,4,4777.1,-0.75,3.906658738205708
11,Frame1_Cluster11,4,4777.1,-0.75,3.906658738205708
12,Frame1_Cluster12,4,5555.1,2.25,3.906658738205708
13,Frame1_Cluster13,3,2863.1,-3.75,2.906658738205708
14,Frame1_Cluster14,3,2863.1,-3.75,2.906658738205708
15,Frame1_Cluster15,3,2863.1,-3.75,2.906658738205708
16,Frame1_Cluster16,3,3641.1,-0.75,2.906658738205708
17,Frame1_Cluster17,3,3641.1,-0.75,2.906658738205708
18,Frame1_Cluster18,3,2863.1,-3.75,2.906658738205708
19,Frame1_Cluster19,3,3641.1,-0.75,2.906658738205708
20,Frame1_Cluster20,3,4652.2,1.5,2.8133174764114157
21,Frame1_Cluster21,3,3641.1,-0.75,2.906658738205708
22,Frame1_Cluster22,3,2863.1,-3.75,2.906658738205708
23,Frame1_Cluster23,3,3641.1,-0.75,2.906658738205708
24,Frame1_Cluster24,3,3641.1,-0.75,2.906658738205708
25,Frame1_Cluster25,3,2630.0,-3.0,3.0
26,Frame1_Cluster26,3,2630.0,-3.0,3.0
27,Frame1_Cluster27,3,3641.1,-0.75,2.906658738205708
28,Frame1_Cluster28,3,2630.0,-3.0,3.0
29,Frame1_Cluster29,3,4419.1,2.25,2.906658738205708
30,Frame1_Cluster30,3,3408.0,0.0,3.0
31,Frame1_Cluster31,3,3408.0,0.0,3.0
32,Frame1_Cluster32,3,4419.1,2.25,2.906658738205708
33,Frame1_Cluster33,3,5430.2,4.5,2.8133174764114157
34,Frame1_Cluster34,3,4419.1,2.25,2.906658738205708
35,Frame1_Cluster35,3,4419.1,2.25,2.906658738205708
36,Frame1_Cluster36,3,4419.1,2.25,2.906658738205708
37,Frame1_Cluster37,2,2505.1,-0.75,1.9066587382057079
38,Frame1_Cluster38,2,2505.1,-0.75,1.9066587382057079
39,Frame1_Cluster39,2,1494.0,-3.0,2.0
40,Frame1_Cluster40,2,2505.1,-0.75,1.9066587382057079
41,Frame1_Cluster41,2,2505.1,-0.75,1.9066587382057079
42,Frame1_Cluster42,2,1494.0,-3.0,2.0
43,Frame1_Cluster43,2,716.0,-6.0,2.0
44,Frame1_Cluster44,2,2505.1,-0.75,1.9066587382057079
45,Frame1_Cluster45,2,1494.0,-3.0,2.0
46,Frame1_Cluster46,2,2505.1,-0.75,1.9066587382057079
47,Frame1_Cluster47,2,1494.0,-3.0,2.0
48,Frame1_Cluster48,2,1494.0,-3.0,2.0
49,Frame1_Cluster49,2,2505.1,-0.75,1.9066587382057079
50,Frame1_Cluster50,2,1494.0,-3.0,2.0
51,Frame1_Cluster51,2,1494.0,-3.0,2.0
52,Frame1_Cluster52,2,2505.1,-0.75,1.9066587382057079
53,Frame1_Cluster53,2,2505.1,-0.75,1.9066587382057079
54,Frame1_Cluster54,2,2505.1,-0.75,1.9066587382057079
55,Frame1_Cluster55,2,2505.1,-0.75,1.9066587382057079
56,Frame1_Cluster56,2,716.0,-6.0,2.0
57,Frame1_Cluster57,2,2505.1,-0.75,1.9066587382057079
58,Frame1_Cluster58,2,1494.0,-3.0,2.0
59,Frame1_Cluster59,2,716.0,-6.0,2.0
60,Frame1_Cluster60,2,2505.1,-0.75,1.9066587382057079
61,Frame1_Cluster61,2,2505.1,-0.75,1.9066587382057079
62,Frame1_Cluster62,2,1494.0,-3.0,2.0
63,Frame1_Cluster63,2,1494.0,-3.0,2.0
64,Frame1_Cluster64,2,2505.1,-0.75,1.9066587382057079
65,Frame1_Cluster65,2,2505.1,-0.75,1.9066587382057079
66,Frame1_Cluster66,2,1494.0,-3.0,2.0
67,Frame1_Cluster67,2,1494.0,-3.0,2.0
68,Frame1_Cluster68,2,2505.1,-0.75,1.9066587382057079
69,Frame1_Cluster69,2,1494.0,-3.0,2.0
70,Frame1_Cluster70,2,2505.1,-0.75,1.9066587382057079
71,Frame1_Cluster71,2,2505.1,-0.75,1.9066587382057079
72,Frame1_Cluster72,2,2505.1,-0.75,1.9066587382057079
73,Frame1_Cluster73,2,1494.0,-3.0,2.0
74,Frame1_Cluster74,2,1494.0,-3.0,2.0
75,Frame1_Cluster75,2,2505.1,-0.75,1.9066587382057079
76,Frame1_Cluster76,2,1494.0,-3.0,2.0
77,Frame1_Cluster77,2,2505.1,-0.75,1.9066587382057079
78,Frame1_Cluster78,2,2505.1,-0.75,1.9066587382057079
79,Frame1_Cluster79,2,2505.1,-0.75,1.9066587382057079
80,Frame1_Cluster80,2,2272.0,0.0,2.0
81,Frame1_Cluster81,2,2272.0,0.0,2.0
82,Frame1_Cluster82,2,2272.0,0.0,2.0
83,Frame1_Cluster83,2,2272.0,0.0,2.0
84,Frame1_Cluster84,2,3283.1,2.25,1.9066587382057079
85,Frame1_Cluster85,2,2272.0,0.0,2.0
86,Frame1_Cluster86,2,2272.0,0.0,2.0
87,Frame1_Cluster87,2,2272.0,0.0,2.0
88,Frame1_Cluster88,2,3283.1,2.25,1.9066587382057079
89,Frame1_Cluster89,2,3283.1,2.25,1.9066587382057079
90,Frame1_Cluster90,2,2272.0,0.0,2.0
91,Frame1_Cluster91,2,2272.0,0.0,2.0
92,Frame1_Cluster92,2,2272.0,0.0,2.0
93,Frame1_Cluster93,2,2272.0,0.0,2.0
94,Frame1_Cluster94,2,3283.1,2.25,1.9066587382057079
95,Frame1_Cluster95,2,2272.0,0.0,2.0
96,Frame1_Cluster96,2,3283.1,2.25,1.9066587382057079
97,Frame1_Cluster97,2,3283.1,2.25,1.9066587382057079
98,Frame1_Cluster98,2,3283.1,2.25,1.9066587382057079
99,Frame1_Cluster99,2,2272.0,0.0,2.0
100,Frame1_Cluster100,2,2272.0,0.0,2.0
101,Frame1_Cluster101,2,2272.0,0.0,2.0
102,Frame1_Cluster102,2,3283.1,2.25,1.9066587382057079
103,Frame1_Cluster103,2,2272.0,0.0,2.0
104,Frame1_Cluster104,2,2272.0,0.0,2.0
105,Frame1_Cluster105,2,3283.1,2.25,1.9066587382057079
106,Frame1_Cluster106,2,2272.0,0.0,2.0
107,Frame1_Cluster107,2,3283.1,2.25,1.9066587382057079
108,Frame1_Cluster108,2,2272.0,0.0,2.0
109,Frame1_Cluster109,2,2272.0,0.0,2.0
110,Frame1_Cluster110,2,3283.1,2.25,1.9066587382057079
111,Frame1_Cluster111,2,3283.1,2.25,1.9066587382057079
112,Frame1_Cluster112,2,3283.1,2.25,1.9066587382057079
113,Frame1_Cluster113,2,3283.1,2.25,1.9066587382057079
114,Frame1_Cluster114,2,2272.0,0.0,2.0
115,Frame1_Cluster115,2,2272.0,0.0,2.0
116,Frame1_Cluster116,2,2272.0,0.0,2.0
117,Frame1_Cluster117,2,3283.1,2.25,1.9066587382057079
118,Frame2_Cluster0,8,8776.2,-4.5,7.813317476411417
119,Frame2_Cluster1,6,5726.2,-7.5,5.813317476411417
120,Frame2_Cluster2,6,7827.1,2.25,5.906658738205708
121,Frame2_Cluster3,5,5913.1,-0.75,4.906658738205708
122,Frame2_Cluster4,5,6146.2,-1.5,4.813317476411416
123,Frame2_Cluster5,4,3999.1,-3.75,3.906658738205708
124,Frame2_Cluster6,4,4777.1,-0.75,3.906658738205708
125,Frame2_Cluster7,4,5010.2,-1.5,3.8133174764114157
126,Frame2_Cluster8,4,3999.1,-3.75,3.906658738205708
127,Frame2_Cluster9,4,4777.1,-0.75,3.906658738205708
128,Frame2_Cluster10,4,3999.1,-3.75,3.906658738205708
129,Frame2_Cluster11,4,3999.1,-3.75,3.906658738205708
130,Frame2_Cluster12,4,4777.1,-0.75,3.906658738205708
131,Frame2_Cluster13,4,5788.2,1.5,3.8133174764114157
132,Frame2_Cluster14,4,4777.1,-0.75,3.906658738205708
133,Frame2_Cluster15,3,2863.1,-3.75,2.906658738205708
134,Frame2_Cluster16,3,3641.1,-0.75,2.906658738205708
135,Frame2_Cluster17,3,3641.1,-0.75,2.906658738205708
136,Frame2_Cluster18,3,2863.1,-3.75,2.906658738205708
137,Frame2_Cluster19,3,2863.1,-3.75,2.906658738205708
138,Frame2_Cluster20,3,2863.1,-3.75,2.906658738205708
139,Frame2_Cluster21,3,2863.1,-3.75,2.906658738205708
