,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
0,Frame1_Cluster0,8,7220.200000000001,0,7.813317476411417
1,Frame1_Cluster1,7,6629.1,0,6.906658738205708
2,Frame1_Cluster2,6,5726.2,0,5.813317476411417
3,Frame1_Cluster3,6,5493.1,0,5.906658738205708
4,Frame1_Cluster4,6,4715.1,0,5.906658738205708
5,Frame1_Cluster5,6,8293.3,0,5.719976214617124
6,Frame1_Cluster6,5,3579.1,0,4.906658738205708
7,Frame1_Cluster7,5,4902.0,0,5.0
8,Frame1_Cluster8,5,5368.2,0,4.813317476411416
9,Frame1_Cluster9,5,3579.1,0,4.906658738205708
10,Frame1_Cluster10,4,3221.1,0,3.906658738205708
11,Frame1_Cluster11,4,1432.0,0,4.0
12,Frame1_Cluster12,4,3221.1,0,3.906658738205708
13,Frame1_Cluster13,4,3999.1,0,3.906658738205708
14,Frame1_Cluster14,4,3221.1,0,3.906658738205708
15,Frame1_Cluster15,4,3221.1,0,3.906658738205708
16,Frame1_Cluster16,4,3221.1,0,3.906658738205708
17,Frame1_Cluster17,4,3999.1,0,3.906658738205708
18,Frame1_Cluster18,3,2863.1,0,2.906658738205708
19,Frame1_Cluster19,3,1074.0,0,3.0
20,Frame1_Cluster20,3,1852.0,0,3.0
21,Frame1_Cluster21,3,1852.0,0,3.0
22,Frame1_Cluster22,3,1852.0,0,3.0
23,Frame1_Cluster23,3,2863.1,0,2.906658738205708
24,Frame1_Cluster24,3,1852.0,0,3.0
25,Frame1_Cluster25,3,1852.0,0,3.0
26,Frame1_Cluster26,3,1074.0,0,3.0
27,Frame1_Cluster27,3,2863.1,0,2.906658738205708
28,Frame1_Cluster28,3,2863.1,0,2.906658738205708
29,Frame1_Cluster29,3,1074.0,0,3.0
30,Frame1_Cluster30,3,1074.0,0,3.0
31,Frame1_Cluster31,3,1852.0,0,3.0
32,Frame1_Cluster32,3,1074.0,0,3.0
33,Frame1_Cluster33,3,1852.0,0,3.0
34,Frame1_Cluster34,3,3641.1,0,2.906658738205708
35,Frame1_Cluster35,3,2863.1,0,2.906658738205708
36,Frame1_Cluster36,3,1074.0,0,3.0
37,Frame1_Cluster37,3,2863.1,0,2.906658738205708
38,Frame1_Cluster38,3,1074.0,0,3.0
39,Frame1_Cluster39,3,1852.0,0,3.0
40,Frame1_Cluster40,3,1852.0,0,3.0
41,Frame1_Cluster41,3,1074.0,0,3.0
42,Frame1_Cluster42,3,2630.0,0,3.0
43,Frame1_Cluster43,3,1074.0,0,3.0
44,Frame1_Cluster44,3,2863.1,0,2.906658738205708
45,Frame1_Cluster45,3,2863.1,0,2.906658738205708
46,Frame1_Cluster46,3,1852.0,0,3.0
47,Frame1_Cluster47,3,1852.0,0,3.0
48,Frame1_Cluster48,3,2630.0,0,3.0
