Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
731300.001,-49189.14417887028,6372.73300843413,-42816.41117043615
731300.002,-49169.07046458231,6317.372787025244,-42851.697677557066
731300.003,-49155.54431697559,6334.104043776841,-42821.44027319875
731300.0040000001,-49158.99201618266,6352.92238593078,-42806.06963025188
731300.005,-49182.908789048764,6373.34525251568,-42809.56353653308
731300.006,-49233.43051442942,6418.25925171946,-42815.17126270996
731300.007,-49225.659699391166,6539.675709936383,-42685.983989454784
731300.008,-49210.525885128074,6449.7714161553995,-42760.75446897268
731300.0090000001,-49202.37324986303,6299.143519083225,-42903.2297307798
731300.01,-49212.18112353691,6423.697931212936,-42788.483192323976
731300.011,-49227.81209215388,6338.096263750591,-42889.71582840329
731300.012,-49198.93459060379,6270.869004784568,-42928.065585819226
731300.013,-49172.26798229745,6493.330583390082,-42678.93739890737
731300.0140000001,-49157.92103378105,6320.316145547968,-42837.60488823308
731300.015,-49140.05633468619,6352.790467148237,-42787.26586753795
731300.0160000001,-49113.86652780269,6477.011731871509,-42636.85479593118
731300.017,-49125.157660323515,6256.126897169659,-42869.03076315386
731300.018,-49095.058081207615,6326.540691453422,-42768.51738975419
731300.0190000001,-49115.65390948234,6413.140763299034,-42702.51314618331
731300.02,-49113.96766081803,6577.60455901139,-42536.36310180664
731300.0210000001,-49149.88289067354,6527.612552757488,-42622.27033791605
731300.022,-49122.69571077496,6331.934811421618,-42790.76089935334
731300.023,-49107.4664218672,6427.140979276173,-42680.32544259103
731300.0240000001,-49097.228555184716,6439.3083208377575,-42657.92023434696
731300.025,-49103.38262036264,6414.115246778485,-42689.26737358415
731300.0260000001,-49101.51469040189,6313.5763178885745,-42787.938372513316
731300.027,-49096.153439674395,6388.470441824031,-42707.68299785037
731300.028,-49096.38286219114,6393.190055648851,-42703.19280654228
731300.029,-49090.270425274095,6438.523059392119,-42651.74736588198
731300.03,-49109.221670430896,6425.884012737668,-42683.33765769323
731300.0310000001,-49101.74571864602,6425.066086131209,-42676.67963251482
731300.032,-49100.35939090592,6394.155823893341,-42706.20356701258
731300.033,-49092.941537495775,6500.124631031632,-42592.81690646414
731300.034,-49080.49387072961,6570.128550606613,-42510.365320123
731300.035,-49073.37163248149,6441.183752589847,-42632.187879891644
731300.0360000001,-49051.255836270095,6431.694265304933,-42619.56157096516
731300.037,-49053.008485196035,6433.843252596327,-42619.165232599706
731300.0380000001,-49060.70571954678,6448.1857846746025,-42612.51993487218
731300.039,-49055.22939639965,6260.446446637237,-42794.78294976241
731300.04,-49040.003809022266,6321.616933454701,-42718.386875567565
