,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
0,Frame1_Cluster0,756,108827.30000000136,-314,383.0850859790351
1,Frame1_Cluster1,749,109591.70000000125,-301,379.96013402686106
2,Frame1_Cluster2,576,82528.50000000033,-258,290.8418158307335
3,Frame1_Cluster3,570,89582.4000000007,-219,295.4440936442841
4,Frame1_Cluster4,509,74497.70000000029,-211,256.87327671444973
5,Frame1_Cluster5,484,71591.00000000015,-186,246.51335483460502
6,Frame1_Cluster6,445,69795.89999999997,-182,229.80502502628292
7,Frame1_Cluster7,421,64909.79999999959,-167,216.09023542010434
8,Frame1_Cluster8,410,68790.39999999994,-192,216.0154465832592
9,Frame1_Cluster9,404,64370.599999999606,-164,209.93221837462514
10,Frame1_Cluster10,392,63587.69999999968,-157,205.07465071769587
11,Frame1_Cluster11,387,58181.09999999964,-179,197.60140508006268
12,Frame1_Cluster12,332,52281.79999999973,-135,172.6580053846721
13,Frame1_Cluster13,312,50996.299999999756,-127,163.7036397280996
14,Frame1_Cluster14,298,46444.199999999764,-113,154.90320433154073
15,Frame1_Cluster15,296,48661.49999999975,-126,155.30937696400312
16,Frame1_Cluster16,290,47997.099999999766,-120,152.25776984132156
17,Frame1_Cluster17,284,46979.099999999766,-116,149.1012983212548
18,Frame1_Cluster18,283,43400.59999999979,-115,146.0887157441074
19,Frame1_Cluster19,278,44085.799999999836,-116,145.28867687249848
20,Frame1_Cluster20,273,42139.599999999795,-103,140.9542322958236
21,Frame1_Cluster21,262,43977.59999999981,-107,138.46030650327032
22,Frame1_Cluster22,262,48270.1999999998,-116,142.85266935882296
23,Frame1_Cluster23,257,41568.8999999998,-96,134.19036690228745
24,Frame1_Cluster24,243,44473.999999999825,-101,131.69587850845073
25,Frame1_Cluster25,229,35363.29999999984,-89,118.52710630374844
26,Frame1_Cluster26,227,38908.89999999984,-86,120.80452702200701
27,Frame1_Cluster27,219,40666.99999999985,-109,119.8801089704047
28,Frame1_Cluster28,210,34285.79999999986,-78,110.4672761478391
29,Frame1_Cluster29,205,36833.99999999987,-101,110.907149894418
30,Frame1_Cluster30,203,33259.39999999986,-79,106.37499486821424
31,Frame1_Cluster31,182,32938.79999999991,-76,98.38460054637066
32,Frame1_Cluster32,175,33336.29999999987,-93,95.32452174235934
33,Frame1_Cluster33,174,27408.39999999991,-72,90.74717881984472
34,Frame1_Cluster34,171,30396.599999999886,-77,91.62054646320215
35,Frame1_Cluster35,166,28092.199999999906,-68,88.18081807727822
36,Frame1_Cluster36,159,29323.19999999989,-78,86.39046982800211
37,Frame1_Cluster37,159,26795.199999999917,-78,84.14828859334986
38,Frame1_Cluster38,155,33195.69999999994,-86,88.28295602053305
39,Frame1_Cluster39,152,23501.899999999943,-68,78.52172653575226
40,Frame1_Cluster40,143,25398.599999999926,-65,76.89568917234035
41,Frame1_Cluster41,136,24441.299999999945,-69,73.30131719656816
42,Frame1_Cluster42,128,20470.099999999973,-58,67.46685144125516
43,Frame1_Cluster43,116,21649.799999999967,-45,63.00471040457393
44,Frame1_Cluster44,111,18943.49999999999,-31,59.20398814841129
45,Frame1_Cluster45,107,21511.499999999956,-54,59.27016087985314
46,Frame1_Cluster46,102,18927.499999999985,-35,55.80120589747802
47,Frame1_Cluster47,94,16927.10000000001,-42,50.32648291647732
48,Frame1_Cluster48,94,14167.400000000021,-37,48.15903495631417
49,Frame1_Cluster49,92,18956.59999999999,-43,52.04247008918526
50,Frame1_Cluster50,90,17686.199999999997,-52,50.19096234632542
51,Frame1_Cluster51,86,15893.500000000016,-39,47.08893025798303
52,Frame1_Cluster52,84,14350.700000000017,-37,44.519226130648796
53,Frame1_Cluster53,84,18859.899999999994,-59,48.90615820335544
54,Frame1_Cluster54,82,14719.000000000016,-31,44.42480108437203
55,Frame1_Cluster55,79,15270.40000000002,-36,43.23127528780105
56,Frame1_Cluster56,73,16077.40000000002,-40,41.63527813498639
57,Frame1_Cluster57,71,17599.600000000006,-39,42.311290908424326
58,Frame1_Cluster58,65,12366.600000000011,-37,35.435581301271405
59,Frame1_Cluster59,64,13464.700000000008,-39,35.69463026921098
60,Frame1_Cluster60,64,13030.500000000007,-32,36.03708648957899
61,Frame1_Cluster61,58,11449.60000000001,-28,32.433865289367105
62,Frame1_Cluster62,56,12300.5,-37,32.34800949639719
63,Frame1_Cluster63,50,9686.900000000003,-22,27.91007320126622
64,Frame1_Cluster64,49,11380.600000000004,-25,28.803774970513405
65,Frame1_Cluster65,49,9814.60000000001,-30,27.340428480435875
66,Frame1_Cluster66,48,11829.000000000011,-37,28.471472982066036
67,Frame1_Cluster67,46,10944.6,-30,27.160145543255993
68,Frame1_Cluster68,45,11503.099999999997,-24,27.070695278947362
69,Frame1_Cluster69,44,9388.500000000005,-26,25.088593550357796
70,Frame1_Cluster70,43,9754.400000000005,-32,25.441373227708368
71,Frame1_Cluster71,40,9893.000000000004,-33,23.93855188247303
72,Frame1_Cluster72,39,9732.900000000007,-25,23.4041242674906
73,Frame1_Cluster73,38,8385.800000000003,-23,21.780292864109427
74,Frame1_Cluster74,36,8233.300000000003,-22,21.011147950345425
75,Frame1_Cluster75,33,8818.3,-22,20.229304181239353
76,Frame1_Cluster76,31,8364.700000000003,-22,18.97963757870075
77,Frame1_Cluster77,31,8747.900000000003,-26,19.426478336252476
78,Frame1_Cluster78,31,9131.200000000003,-23,19.476884283688626
79,Frame1_Cluster79,31,5604.800000000003,-18,17.040835545166964
80,Frame1_Cluster80,30,7046.999999999999,-18,17.875254540335728
81,Frame1_Cluster81,27,6157.000000000002,-21,15.678545783965681
82,Frame1_Cluster82,26,7525.2000000000035,-17,16.32035699054747
83,Frame1_Cluster83,26,6452.800000000001,-22,15.691240151695107
84,Frame1_Cluster84,17,5131.200000000001,-19,10.852188924178416
85,Frame1_Cluster85,16,4927.400000000001,-12,10.32390195484354
86,Frame1_Cluster86,7,1415.8999999999999,-7,3.659087606965917
87,Frame1_Cluster87,7,2909.5,-15,4.995561234758821
88,Frame1_Cluster88,6,1881.8999999999999,-12,3.8486744759838554
89,Frame1_Cluster89,6,2024.1,-9,4.020124331253525
90,Frame1_Cluster90,5,1840.8999999999999,-10,3.481077172984828
91,Frame1_Cluster91,5,1512.7,-8,3.229446398629422
92,Frame1_Cluster92,5,1460.6999999999998,-9,3.1791745185103446
93,Frame1_Cluster93,5,1369.6999999999998,-10,3.0698700417835925
94,Frame1_Cluster94,5,1412.7999999999997,-8,3.1267828390957475
95,Frame1_Cluster95,4,1715.2,-7,2.7924295927929013
96,Frame1_Cluster96,4,1976.1,-9,3.0564511121995053
97,Frame1_Cluster97,4,1874.1,-8,2.897380067581551
98,Frame1_Cluster98,4,1357.7999999999997,-6,2.5523511665411176
99,Frame1_Cluster99,4,990.8000000000001,-3,2.297790502731578
100,Frame1_Cluster100,4,1410.7999999999997,-6,2.5734033906302933
101,Frame1_Cluster101,4,1531.8,-6,2.805931298036267
102,Frame1_Cluster102,4,1382.8,-7,2.6198697938402122
103,Frame1_Cluster103,4,1448.6,-8,2.7727651363702686
104,Frame1_Cluster104,4,1043.4,-8,2.471249762154432
105,Frame1_Cluster105,4,836.5,-6,2.248821689975811
106,Frame1_Cluster106,4,1030.4,-7,2.4730876831749677
107,Frame1_Cluster107,4,731.1,-7,2.088098933249971
108,Frame1_Cluster108,4,945.5,-4,2.356666174484229
109,Frame1_Cluster109,4,831.4000000000001,-5,2.2450460938471593
110,Frame1_Cluster110,3,1426.8999999999999,-7,2.215490435459074
111,Frame1_Cluster111,3,1385.9,-7,2.252399867038503
112,Frame1_Cluster112,3,1098.8,-4,1.984231523004259
113,Frame1_Cluster113,3,1196.8,-6,2.076848448271946
114,Frame1_Cluster114,3,1084.7,-5,1.97023013080057
115,Frame1_Cluster115,3,991.7,-3,1.860539073814942
116,Frame1_Cluster116,3,942.7,-4,1.7822352513055868
117,Frame1_Cluster117,3,1104.7,-4,1.997314489190482
118,Frame1_Cluster118,3,970.7,-3,1.850256424433169
119,Frame1_Cluster119,3,1828.0,-8,2.538815827248743
120,Frame1_Cluster120,3,1385.7,-6,2.2792473626235727
121,Frame1_Cluster121,3,1333.6,-8,2.218887826071839
122,Frame1_Cluster122,3,1349.6,-8,2.235876386765928
123,Frame1_Cluster123,3,905.5,-5,1.8578668610865259
124,Frame1_Cluster124,3,854.4,-4,1.787484230495794
125,Frame1_Cluster125,3,1311.7,-6,2.246802205510326
126,Frame1_Cluster126,3,1213.6000000000001,-7,2.167022589385056
127,Frame1_Cluster127,3,808.3000000000001,-6,1.853122410690569
128,Frame1_Cluster128,3,1111.5,-8,2.04576437815841
129,Frame1_Cluster129,3,1025.4,-6,2.068666011525396
130,Frame1_Cluster130,3,1152.5,-8,2.1174642440976683
131,Frame1_Cluster131,3,745.3,-5,1.779959786776514
132,Frame1_Cluster132,3,877.4,-6,1.9330748656726862
133,Frame1_Cluster133,3,853.3000000000001,-6,1.906155139524591
134,Frame1_Cluster134,3,758.3000000000001,-5,1.8190047143961472
135,Frame1_Cluster135,3,841.4,-4,1.8973151891175393
136,Frame1_Cluster136,3,715.3000000000001,-5,1.7563534989188212
137,Frame1_Cluster137,3,869.4,-5,1.934218461583139
138,Frame1_Cluster138,3,946.4,-7,1.994012099153326
139,Frame1_Cluster139,3,726.3000000000001,-5,1.7895950241057559
140,Frame1_Cluster140,3,837.4,-6,1.9582281295892328
141,Frame1_Cluster141,3,764.3,-4,1.901625368325222
142,Frame1_Cluster142,3,575.2,-5,1.662683471046528
143,Frame1_Cluster143,3,451.1,-5,1.554047700971638
144,Frame1_Cluster144,3,487.29999999999995,-2,1.59873917672778
145,Frame1_Cluster145,3,243.1,-3,1.264628807156496
146,Frame1_Cluster146,3,366.1,-4,1.483943503621169
147,Frame1_Cluster147,2,1309.8,-7,1.726253806521358
148,Frame1_Cluster148,2,903.6,-5,1.390333741399575
149,Frame1_Cluster149,2,903.6,-5,1.390333741399575
150,Frame1_Cluster150,2,880.5,-5,1.381361283995096
151,Frame1_Cluster151,2,842.5,-4,1.311190836361718
152,Frame1_Cluster152,2,896.6,-4,1.4236710109727788
153,Frame1_Cluster153,2,1008.7,-3,1.539428792169149
154,Frame1_Cluster154,2,1008.7,-3,1.539428792169149
155,Frame1_Cluster155,2,948.5,-5,1.483151525579618
156,Frame1_Cluster156,2,861.5,-5,1.373848218830009
157,Frame1_Cluster157,2,1243.6,-7,1.696861993219906
158,Frame1_Cluster158,2,1026.5,-5,1.5542609206450821
159,Frame1_Cluster159,2,896.6,-3,1.4236710109727788
160,Frame1_Cluster160,2,860.5,-4,1.372263826630638
161,Frame1_Cluster161,2,902.5,-5,1.431143054845667
162,Frame1_Cluster162,2,896.6,-4,1.4236710109727788
163,Frame1_Cluster163,2,902.5,-5,1.431143054845667
164,Frame1_Cluster164,2,881.6,-3,1.403614758547021
165,Frame1_Cluster165,2,1267.7,-7,1.709768283951792
166,Frame1_Cluster166,2,1026.5,-5,1.5542609206450821
167,Frame1_Cluster167,2,1426.9,-5,1.786090966062433
168,Frame1_Cluster168,2,910.6,-4,1.441062065021999
169,Frame1_Cluster169,2,1244.6,-7,1.6974060272292841
170,Frame1_Cluster170,2,1022.6,-5,1.551070044338906
171,Frame1_Cluster171,2,902.5,-5,1.431143054845667
172,Frame1_Cluster172,2,1022.6,-5,1.551070044338906
173,Frame1_Cluster173,2,910.6,-4,1.441062065021999
174,Frame1_Cluster174,2,808.5,-2,1.398396771865822
175,Frame1_Cluster175,2,1007.5999999999999,-4,1.5732062467207522
176,Frame1_Cluster176,2,1142.5,-6,1.654740734073107
177,Frame1_Cluster177,2,808.5,-2,1.398396771865822
178,Frame1_Cluster178,2,759.4,-4,1.331182925673832
179,Frame1_Cluster179,2,800.4,-4,1.38847776168949
180,Frame1_Cluster180,2,808.5,-2,1.398396771865822
181,Frame1_Cluster181,2,1142.5,-6,1.654740734073107
182,Frame1_Cluster182,2,1007.5999999999999,-4,1.5732062467207522
183,Frame1_Cluster183,2,1142.5,-6,1.654740734073107
184,Frame1_Cluster184,2,737.5,-2,1.29361651534484
185,Frame1_Cluster185,2,1165.6,-6,1.6671029907956152
186,Frame1_Cluster186,2,758.4,-3,1.329598533474461
187,Frame1_Cluster187,2,1181.6,-6,1.675445394382903
188,Frame1_Cluster188,2,794.5,-3,1.381005717816602
189,Frame1_Cluster189,2,794.5,-3,1.381005717816602
190,Frame1_Cluster190,2,920.5,-4,1.508404751182729
191,Frame1_Cluster191,2,920.5,-4,1.508404751182729
192,Frame1_Cluster192,2,758.4,-3,1.329598533474461
193,Frame1_Cluster193,2,1324.8,-4,1.743425672906256
194,Frame1_Cluster194,2,920.5,-4,1.508404751182729
195,Frame1_Cluster195,2,707.4,-3,1.227402166902134
196,Frame1_Cluster196,2,800.4,-4,1.38847776168949
197,Frame1_Cluster197,2,920.5,-4,1.508404751182729
198,Frame1_Cluster198,2,758.4,-3,1.329598533474461
199,Frame1_Cluster199,2,751.5,-2,1.318354502339276
200,Frame1_Cluster200,2,808.5,-3,1.398396771865822
201,Frame1_Cluster201,2,830.4,-4,1.423497671729352
202,Frame1_Cluster202,2,846.4,-4,1.4404862324234409
203,Frame1_Cluster203,2,1226.6999999999998,-4,1.6980742250611232
204,Frame1_Cluster204,2,826.3,-4,1.466244179643772
205,Frame1_Cluster205,2,660.3,-3,1.284247085629328
206,Frame1_Cluster206,2,653.4,-2,1.273003054494143
207,Frame1_Cluster207,2,696.4,-3,1.335654269971469
208,Frame1_Cluster208,2,710.4,-2,1.353045324020689
209,Frame1_Cluster209,2,616.2,-6,1.2632026471504791
210,Frame1_Cluster210,2,615.2,-5,1.2616182549511081
211,Frame1_Cluster211,2,665.3000000000001,-4,1.3304164933424691
212,Frame1_Cluster212,2,615.2,-5,1.2616182549511081
213,Frame1_Cluster213,2,1022.4000000000001,-8,1.599122712272262
214,Frame1_Cluster214,2,999.3000000000001,-8,1.586760455549754
215,Frame1_Cluster215,2,651.3000000000001,-5,1.313025439293249
216,Frame1_Cluster216,2,578.2,-5,1.1930321995171012
217,Frame1_Cluster217,2,665.3000000000001,-5,1.3304164933424691
218,Frame1_Cluster218,2,763.4000000000001,-4,1.4287832204896191
219,Frame1_Cluster219,2,665.3000000000001,-5,1.3304164933424691
220,Frame1_Cluster220,2,665.3000000000001,-4,1.3304164933424691
221,Frame1_Cluster221,2,578.2,-5,1.1930321995171012
222,Frame1_Cluster222,2,999.3000000000001,-8,1.586760455549754
223,Frame1_Cluster223,2,999.3000000000001,-8,1.586760455549754
