Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
372700.001,-268665.0474757375,64083.334457943696,-204581.71301779384
372700.00200000004,-268760.34770366276,64101.25360202963,-204659.09410163312
372700.003,-268630.9147457042,64137.62397498982,-204493.2907707144
372700.004,-268671.24527308415,64426.99345836143,-204244.25181472272
372700.005,-268566.03361182637,63998.5063420691,-204567.52726975727
372700.006,-268583.46318679844,64278.58417771911,-204304.87900907933
372700.00700000004,-268520.40783909464,64525.75147562917,-203994.65636346547
372700.00800000003,-268551.2803236485,64270.99408516569,-204280.2862384828
372700.009,-268493.42559308105,64201.88626970148,-204291.53932337958
372700.01,-268397.68436523876,64656.163880854365,-203741.52048438438
372700.011,-268584.08993353415,64302.86772218591,-204281.22221134824
372700.01200000005,-268695.8784132293,64312.75044159411,-204383.1279716352
372700.01300000004,-268697.00246971427,64136.99689055483,-204560.00557915942
372700.014,-268763.4720429953,63984.94146561861,-204778.53057737666
372700.015,-268627.7092654368,64285.40793796362,-204342.3013274732
372700.016,-268657.79381760466,64553.22393916408,-204104.56987844058
372700.017,-268706.5112642936,64745.96897307213,-203960.54229122144
372700.01800000004,-268659.66649685585,64435.26130130932,-204224.4051955465
372700.01900000003,-268784.93794313585,64090.18453762475,-204694.7534055111
372700.02,-268789.2392468482,64359.86669283253,-204429.3725540157
372700.021,-268481.04011727823,64507.077095121764,-203973.96302215647
372700.022,-268683.91691935953,64201.90864365204,-204482.00827570749
372700.02300000004,-268660.37694694975,64131.41818636813,-204528.95876058162
372700.02400000003,-268759.21159205586,63919.55889674211,-204839.65269531374
372700.025,-268743.3368970902,64290.078539494185,-204453.258357596
372700.026,-268743.4735928931,64434.224214508264,-204309.24937838485
372700.027,-268743.9431146693,64609.19021585853,-204134.75289881078
372700.028,-268820.1654975051,63531.56620130641,-205288.5992961987
372700.02900000004,-268680.90946045925,64218.45636986666,-204462.45309059258
372700.03,-268648.9724961247,64018.52875772427,-204630.4437384004
372700.031,-268682.2454367158,64429.52582098113,-204252.71961573465
372700.032,-268753.11632854294,64657.614607737574,-204095.50172080536
372700.033,-268745.04424934613,64361.63889295337,-204383.40535639276
372700.03400000004,-268709.43421742634,63930.15323792383,-204779.2809795025
372700.03500000003,-268687.77166601416,64223.32338655567,-204464.4482794585
372700.036,-268733.9532649836,64063.30428761504,-204670.64897736855
372700.037,-268716.2493930372,64362.06108455267,-204354.1883084845
372700.038,-268625.86358309776,64260.120374829916,-204365.74320826784
372700.039,-268489.239871673,64684.819050790815,-203804.4208208822
372700.04000000004,-268612.2135731975,64335.19765979161,-204277.01591340586
372700.041,-268537.40134996205,63952.295792527046,-204585.10555743502
372700.042,-268725.5936434307,64067.45253350999,-204658.1411099207
372700.043,-268734.429681677,64161.54357443415,-204572.88610724287
372700.044,-268697.8031127867,64144.47581513133,-204553.3272976554
372700.04500000004,-268776.4170547487,64022.439652324756,-204753.97740242392
372700.04600000003,-268808.1876977149,64166.35464456532,-204641.83305314957
372700.047,-268868.6443647674,64195.10470051164,-204673.53966425578
372700.048,-268878.69484609057,64043.87463132806,-204834.82021476253
372700.049,-268826.74845021614,64528.198024844474,-204298.55042537168
372700.05000000005,-268737.1948079528,64676.40954881263,-204060.78525914016
372700.05100000004,-268945.7002864273,64172.92918422057,-204772.77110220672
372700.052,-268679.00772248546,64341.293961934076,-204337.71376055139
372700.053,-268706.73282106145,64579.36248210055,-204127.3703389609
372700.054,-268597.39382471296,64221.93143480165,-204375.4623899113
372700.055,-268714.11540153227,64035.064550575546,-204679.05085095673
