,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
0,Frame1_Cluster0,741,105290.70000000109,-537,377.79660348967394
1,Frame1_Cluster1,565,80545.40000000026,-358,287.17110490755044
2,Frame1_Cluster2,518,129899.00000000096,-618,304.9460741448086
3,Frame1_Cluster3,402,101055.10000000085,-403,237.55107857553907
4,Frame1_Cluster4,391,57257.99999999973,-276,200.22981364757183
5,Frame1_Cluster5,376,62093.89999999972,-260,200.50694355265932
6,Frame1_Cluster6,370,99226.40000000069,-408,221.2885572688378
7,Frame1_Cluster7,362,58984.599999999744,-289,189.37599157906268
8,Frame1_Cluster8,357,115220.20000000065,-437,229.26881937613948
9,Frame1_Cluster9,344,83971.40000000047,-367,201.92851895765077
10,Frame1_Cluster10,344,73593.69999999994,-297,194.77274408983183
11,Frame1_Cluster11,332,65088.79999999967,-286,184.0237949405244
12,Frame1_Cluster12,329,71199.49999999993,-336,186.103795279306
13,Frame1_Cluster13,327,71965.9,-319,183.6178306084989
14,Frame1_Cluster14,320,47843.49999999976,-237,163.641892609638
15,Frame1_Cluster15,316,44295.699999999815,-228,160.22147435233563
16,Frame1_Cluster16,314,62738.29999999968,-281,174.97810243812734
17,Frame1_Cluster17,312,40382.69999999981,-173,154.00627840148715
18,Frame1_Cluster18,302,57816.09999999973,-229,166.8147654443815
19,Frame1_Cluster19,301,56625.89999999974,-254,163.22199547188367
20,Frame1_Cluster20,289,41677.199999999815,-186,147.0553113285683
21,Frame1_Cluster21,288,45310.2999999998,-184,148.7751841656583
22,Frame1_Cluster22,273,60177.899999999754,-263,155.0331918330356
23,Frame1_Cluster23,272,44358.79999999987,-193,144.84914904531598
24,Frame1_Cluster24,266,39932.09999999987,-234,137.06895694790882
25,Frame1_Cluster25,262,68988.69999999995,-234,158.004340509147
26,Frame1_Cluster26,259,51655.59999999978,-200,141.88591923770824
27,Frame1_Cluster27,254,58924.79999999978,-220,145.68055399632138
28,Frame1_Cluster28,253,53517.69999999978,-221,143.74437379714698
29,Frame1_Cluster29,252,51877.19999999983,-247,138.7003872574172
30,Frame1_Cluster30,249,56255.09999999975,-219,141.1481972249449
31,Frame1_Cluster31,249,65101.09999999974,-298,150.166135073975
32,Frame1_Cluster32,247,40310.89999999988,-157,130.01760985777827
33,Frame1_Cluster33,238,57738.89999999979,-230,137.8602166472275
34,Frame1_Cluster34,234,26263.399999999976,-185,111.73442792070881
35,Frame1_Cluster35,231,33456.89999999989,-160,116.88822844653552
36,Frame1_Cluster36,229,58131.89999999977,-255,134.84180238537937
37,Frame1_Cluster37,227,40941.99999999988,-180,121.37585705406775
38,Frame1_Cluster38,225,40421.29999999987,-155,122.07597908688014
39,Frame1_Cluster39,215,35479.29999999986,-181,111.13869677615779
40,Frame1_Cluster40,214,41476.39999999985,-204,114.95702688331005
41,Frame1_Cluster41,212,70997.00000000015,-268,136.97064468238284
42,Frame1_Cluster42,209,26593.199999999957,-159,103.18272853921071
43,Frame1_Cluster43,209,36210.99999999993,-161,112.87189663379444
44,Frame1_Cluster44,205,50693.19999999984,-216,119.07663604282592
45,Frame1_Cluster45,201,60954.59999999984,-216,126.13797065501392
46,Frame1_Cluster46,196,46897.69999999991,-215,113.8529649010166
47,Frame1_Cluster47,195,26330.19999999993,-115,97.1043990355634
48,Frame1_Cluster48,192,47448.79999999981,-188,116.41398289083727
49,Frame1_Cluster49,189,26559.39999999994,-147,93.7883683671265
50,Frame1_Cluster50,185,30228.69999999988,-135,96.32125178012438
51,Frame1_Cluster51,184,25449.099999999948,-122,92.2585414248484
52,Frame1_Cluster52,176,50863.89999999983,-167,110.22261199993852
53,Frame1_Cluster53,174,34977.5999999999,-171,95.17177492007087
54,Frame1_Cluster54,171,27418.29999999993,-97,88.68532750894167
55,Frame1_Cluster55,162,26154.699999999946,-123,83.97004650329266
56,Frame1_Cluster56,158,28634.39999999991,-144,84.28161168920636
57,Frame1_Cluster57,155,26914.399999999954,-132,82.8087375172575
58,Frame1_Cluster58,149,31897.69999999991,-118,84.08056110887404
59,Frame1_Cluster59,145,28337.099999999966,-97,81.64220469013453
60,Frame1_Cluster60,144,18720.399999999994,-108,71.1250858028196
61,Frame1_Cluster61,142,21475.599999999977,-102,71.75240061838815
